OLIS-3D-ASCII	SySl1022			
375	7.63E-03			
376	8.02E-03			
377	8.36E-03			
378	8.64E-03			
379	8.87E-03			
380	9.06E-03			
381	9.22E-03			
382	9.35E-03			
383	9.48E-03			
384	9.57E-03			
385	9.64E-03			
386	9.69E-03			
387	9.83E-03			
388	9.90E-03			
389	9.96E-03			
390	1.00E-02			
391	1.01E-02			
392	0.010188922			
393	1.03E-02			
394	1.04E-02			
395	1.06E-02			
396	1.07E-02			
397	1.09E-02			
398	1.11E-02			
399	1.13E-02			
400	1.16E-02			
401	1.19E-02			
402	1.22E-02			
403	1.25E-02			
404	1.29E-02			
405	1.33E-02			
406	1.37E-02			
407	0.014082825			
408	1.45E-02			
409	1.49E-02			
410	1.53E-02			
411	0.015675933			
412	1.61E-02			
413	1.65E-02			
414	1.69E-02			
415	1.73E-02			
416	1.76E-02			
417	1.79E-02			
418	1.82E-02			
419	1.85E-02			
420	1.87E-02			
421	0.01898963			
422	1.92E-02			
423	1.94E-02			
424	1.96E-02			
425	1.98E-02			
426	2.01E-02			
427	2.04E-02			
428	2.06E-02			
429	2.10E-02			
430	2.13E-02			
431	2.17E-02			
432	2.21E-02			
433	2.25E-02			
434	2.28E-02			
435	2.30E-02			
436	0.023232977			
437	2.34E-02			
438	0.023422545			
439	2.34E-02			
440	2.33E-02			
441	2.32E-02			
442	2.30E-02			
443	2.27E-02			
444	0.022327643			
445	2.19E-02			
446	2.14E-02			
447	2.08E-02			
448	2.03E-02			
449	1.98E-02			
450	1.92E-02			
451	1.88E-02			
452	1.84E-02			
453	1.80E-02			
454	1.77E-02			
455	1.75E-02			
456	1.73E-02			
457	1.71E-02			
458	1.69E-02			
459	0.016723611			
460	1.66E-02			
461	0.016479145			
462	0.016353332			
463	1.62E-02			
464	0.016111672			
465	1.60E-02			
466	1.58E-02			
467	1.57E-02			
468	1.55E-02			
469	1.54E-02			
470	1.53E-02			
471	1.52E-02			
472	1.51E-02			
473	1.51E-02			
474	1.50E-02			
475	1.50E-02			
476	0.014999711			
477	1.50E-02			
478	1.51E-02			
479	1.51E-02			
480	1.52E-02			
481	1.52E-02			
482	1.53E-02			
483	1.53E-02			
484	1.54E-02			
485	1.54E-02			
486	1.54E-02			
487	1.54E-02			
488	1.53E-02			
489	1.53E-02			
490	1.52E-02			
491	1.51E-02			
492	1.50E-02			
493	1.49E-02			
494	1.48E-02			
495	1.47E-02			
496	1.45E-02			
497	1.44E-02			
498	1.42E-02			
499	0.014021204			
500	1.38E-02			
501	1.36E-02			
502	1.34E-02			
503	1.32E-02			
504	1.30E-02			
505	1.29E-02			
506	1.27E-02			
507	1.25E-02			
508	1.24E-02			
509	1.23E-02			
510	1.22E-02			
511	1.21E-02			
512	1.20E-02			
513	1.19E-02			
514	1.18E-02			
515	1.17E-02			
516	1.16E-02			
517	1.15E-02			
518	1.14E-02			
519	0.011263734			
520	1.11E-02			
521	1.09E-02			
522	1.07E-02			
523	1.05E-02			
524	1.02E-02			
525	9.94E-03			
526	9.63E-03			
527	9.30E-03			
528	8.96E-03			
529	8.60E-03			
530	8.26E-03			
531	7.89E-03			
532	7.55E-03			
533	7.19E-03			
534	6.80E-03			
535	6.43E-03			
536	6.07E-03			
537	5.71E-03			
538	5.33E-03			
539	4.98E-03			
540	4.64E-03			
541	4.32E-03			
542	4.03E-03			
543	3.77E-03			
