OLIS-3D-ASCII	SySl1019		
375	1.67E-02		
376	1.71E-02		
377	1.75E-02		
378	1.79E-02		
379	1.83E-02		
380	1.87E-02		
381	1.90E-02		
382	0.019193667		
383	1.94E-02		
384	1.94E-02		
385	1.94E-02		
386	1.93E-02		
387	1.95E-02		
388	1.95E-02		
389	1.95E-02		
390	1.95E-02		
391	1.96E-02		
392	1.97E-02		
393	1.98E-02		
394	2.00E-02		
395	2.01E-02		
396	2.02E-02		
397	2.04E-02		
398	2.06E-02		
399	2.09E-02		
400	0.021164951		
401	2.15E-02		
402	2.18E-02		
403	2.23E-02		
404	2.28E-02		
405	2.33E-02		
406	2.40E-02		
407	2.45E-02		
408	2.52E-02		
409	0.025834588		
410	2.65E-02		
411	2.70E-02		
412	2.76E-02		
413	2.82E-02		
414	2.88E-02		
415	2.93E-02		
416	2.97E-02		
417	3.01E-02		
418	3.06E-02		
419	3.10E-02		
420	0.031318585		
421	3.17E-02		
422	3.19E-02		
423	3.22E-02		
424	3.25E-02		
425	3.28E-02		
426	3.32E-02		
427	3.36E-02		
428	0.034028911		
429	3.45E-02		
430	3.50E-02		
431	3.56E-02		
432	3.62E-02		
433	3.67E-02		
434	3.73E-02		
435	3.77E-02		
436	3.81E-02		
437	3.84E-02		
438	3.86E-02		
439	3.87E-02		
440	3.87E-02		
441	3.84E-02		
442	3.80E-02		
443	3.75E-02		
444	3.68E-02		
445	3.60E-02		
446	3.52E-02		
447	3.41E-02		
448	3.31E-02		
449	3.21E-02		
450	3.12E-02		
451	3.03E-02		
452	2.95E-02		
453	2.87E-02		
454	2.81E-02		
455	2.76E-02		
456	2.72E-02		
457	2.68E-02		
458	2.64E-02		
459	2.61E-02		
460	2.59E-02		
461	2.56E-02		
462	0.025385798		
463	2.52E-02		
464	0.024932155		
465	2.47E-02		
466	2.45E-02		
467	2.43E-02		
468	2.41E-02		
469	2.40E-02		
470	2.38E-02		
471	2.37E-02		
472	2.36E-02		
473	2.35E-02		
474	2.34E-02		
475	2.34E-02		
476	2.34E-02		
477	0.023447784		
478	2.35E-02		
479	2.36E-02		
480	2.37E-02		
481	2.39E-02		
