OLIS-3D-ASCII	SySl1103
375	2.64E-03
376	2.42E-03
377	2.35E-03
378	2.40E-03
379	2.53E-03
380	2.70E-03
381	2.89E-03
382	2.98E-03
383	3.04E-03
384	3.06E-03
385	2.99E-03
386	2.94E-03
387	2.82E-03
388	2.79E-03
389	2.81E-03
390	2.86E-03
391	2.92E-03
392	2.99E-03
393	3.02E-03
394	3.00E-03
395	3.02E-03
396	3.07E-03
397	3.06E-03
398	3.13E-03
399	3.12E-03
400	3.21E-03
401	3.23E-03
402	3.25E-03
403	3.31E-03
404	3.36E-03
405	3.40E-03
406	3.46E-03
407	3.51E-03
408	3.60E-03
409	3.64E-03
410	3.73E-03
411	3.76E-03
412	3.85E-03
413	3.89E-03
414	3.95E-03
415	4.03E-03
416	4.09E-03
417	4.16E-03
418	4.19E-03
419	4.20E-03
420	4.22E-03
421	4.21E-03
422	4.21E-03
423	4.18E-03
424	4.19E-03
425	4.21E-03
426	4.25E-03
427	4.25E-03
428	4.28E-03
429	4.34E-03
430	4.38E-03
431	4.44E-03
432	4.45E-03
433	4.48E-03
434	4.51E-03
435	4.54E-03
436	4.54E-03
437	4.55E-03
438	4.55E-03
439	4.50E-03
440	4.49E-03
441	4.45E-03
442	4.38E-03
443	4.28E-03
444	4.13E-03
445	3.99E-03
446	3.83E-03
447	3.69E-03
448	3.52E-03
449	3.36E-03
450	3.22E-03
451	3.07E-03
452	2.95E-03
453	2.84E-03
454	2.73E-03
455	2.64E-03
456	2.55E-03
457	2.49E-03
458	2.43E-03
459	2.41E-03
460	2.36E-03
461	2.32E-03
462	2.30E-03
463	2.27E-03
464	2.23E-03
465	2.19E-03
466	2.17E-03
467	2.15E-03
468	2.12E-03
469	2.08E-03
470	2.04E-03
471	2.00E-03
472	1.97E-03
473	1.93E-03
474	1.90E-03
475	1.86E-03
476	1.83E-03
477	1.80E-03
478	1.79E-03
479	1.76E-03
480	1.76E-03
481	1.75E-03
482	1.75E-03
483	1.74E-03
484	1.74E-03
485	1.73E-03
486	1.73E-03
487	1.74E-03
488	1.76E-03
489	1.76E-03
490	1.78E-03
491	1.79E-03
492	1.81E-03
493	1.82E-03
494	1.84E-03
495	1.84E-03
496	1.84E-03
497	1.83E-03
498	1.82E-03
499	1.81E-03
500	1.79E-03
501	1.76E-03
502	1.75E-03
503	1.72E-03
504	1.67E-03
505	1.65E-03
506	1.61E-03
507	1.56E-03
508	1.52E-03
509	1.46E-03
510	1.40E-03
511	1.36E-03
512	1.30E-03
513	1.26E-03
514	1.21E-03
515	1.16E-03
516	1.11E-03
517	1.08E-03
518	1.03E-03
519	9.97E-04
520	9.60E-04
521	9.15E-04
522	8.71E-04
523	8.30E-04
524	7.92E-04
525	7.56E-04
526	7.13E-04
527	6.85E-04
528	6.59E-04
529	6.46E-04
530	6.37E-04
531	6.30E-04
532	6.30E-04
533	6.36E-04
534	6.24E-04
535	6.28E-04
536	6.36E-04
537	6.42E-04
538	6.42E-04
539	6.44E-04
540	6.36E-04
541	6.47E-04
542	6.48E-04
543	6.47E-04
544	6.55E-04
545	6.73E-04
546	6.82E-04
547	7.00E-04
548	7.25E-04
549	7.53E-04
550	7.75E-04
551	8.01E-04
552	8.21E-04
553	8.44E-04
554	8.67E-04
555	8.84E-04
556	8.92E-04
557	9.22E-04
558	9.38E-04
559	9.54E-04
560	9.88E-04
561	1.02E-03
562	1.06E-03
563	1.09E-03
564	1.12E-03
565	1.16E-03
566	1.20E-03
567	1.23E-03
568	1.27E-03
569	1.32E-03
570	1.35E-03
571	1.39E-03
572	1.44E-03
573	1.49E-03
574	1.52E-03
575	1.56E-03
576	1.59E-03
577	1.63E-03
578	1.67E-03
579	1.69E-03
580	1.73E-03
581	1.77E-03
582	1.80E-03
583	1.85E-03
584	1.89E-03
585	1.92E-03
586	1.95E-03
587	1.99E-03
588	2.00E-03
589	2.03E-03
590	2.04E-03
591	2.07E-03
592	2.10E-03
593	2.13E-03
594	2.15E-03
595	2.20E-03
596	2.23E-03
597	2.27E-03
598	2.34E-03
599	2.38E-03
600	2.42E-03
