OLIS-3D-ASCII	SySl1112	
375	1.42E-03	
376	1.43E-03	
377	1.47E-03	
378	1.54E-03	
379	1.63E-03	
380	1.72E-03	
381	1.81E-03	
382	1.90E-03	
383	1.86E-03	
384	1.94E-03	
385	1.92E-03	
386	1.92E-03	
387	1.84E-03	
388	1.76E-03	
389	1.73E-03	
390	1.73E-03	
391	1.67E-03	
392	1.66E-03	
393	1.71E-03	
394	1.71E-03	
395	1.72E-03	
396	1.76E-03	
397	1.80E-03	
398	0.001851275	
399	1.88E-03	
400	1.94E-03	
401	1.95E-03	
402	1.91E-03	
403	1.90E-03	
404	1.88E-03	
405	1.93E-03	
406	1.94E-03	
407	1.98E-03	
408	2.03E-03	
409	2.12E-03	
410	2.15E-03	
411	2.19E-03	
412	2.23E-03	
413	2.24E-03	
414	2.23E-03	
415	2.25E-03	
416	2.25E-03	
417	2.27E-03	
418	2.28E-03	
419	2.31E-03	
420	2.34E-03	
421	2.36E-03	
422	2.36E-03	
423	2.36E-03	
424	2.38E-03	
425	2.39E-03	
426	2.39E-03	
427	2.40E-03	
428	2.40E-03	
429	2.41E-03	
430	2.44E-03	
431	2.49E-03	
432	2.52E-03	
433	2.56E-03	
434	2.60E-03	
435	2.62E-03	
436	2.65E-03	
437	2.65E-03	
438	2.64E-03	
439	2.62E-03	
440	2.60E-03	
441	2.59E-03	
442	2.54E-03	
443	2.49E-03	
444	2.43E-03	
445	2.36E-03	
446	2.28E-03	
447	2.22E-03	
448	2.15E-03	
449	2.06E-03	
450	1.99E-03	
451	1.90E-03	
452	1.84E-03	
453	1.76E-03	
454	1.70E-03	
455	1.65E-03	
456	1.59E-03	
457	1.53E-03	
458	1.50E-03	
459	1.48E-03	
460	1.45E-03	
461	1.45E-03	
462	1.44E-03	
463	1.41E-03	
464	1.39E-03	
465	1.36E-03	
466	1.37E-03	
467	1.34E-03	
468	1.31E-03	
469	1.31E-03	
470	1.30E-03	
471	1.29E-03	
472	1.27E-03	
473	1.27E-03	
474	1.25E-03	
475	1.23E-03	
476	1.21E-03	
477	1.19E-03	
478	1.19E-03	
479	1.19E-03	
480	1.19E-03	
481	1.19E-03	
482	1.19E-03	
483	1.18E-03	
484	1.18E-03	
485	1.18E-03	
486	1.19E-03	
487	1.19E-03	
488	1.20E-03	
489	1.21E-03	
490	1.21E-03	
491	1.22E-03	
492	1.22E-03	
493	1.21E-03	
494	1.20E-03	
495	1.18E-03	
496	1.18E-03	
497	1.17E-03	
498	1.16E-03	
499	1.15E-03	
500	1.14E-03	
501	1.13E-03	
502	1.13E-03	
503	1.13E-03	
504	1.12E-03	
505	1.11E-03	
