OLIS-3D-ASCII	SySl1106							
375	1.11E-03							
376	1.11E-03							
377	1.13E-03							
378	1.15E-03							
379	1.18E-03							
380	1.20E-03							
381	1.22E-03							
382	1.20E-03							
383	1.19E-03							
384	1.17E-03							
385	1.16E-03							
386	1.15E-03							
387	1.21E-03							
388	1.22E-03							
389	1.22E-03							
390	1.16E-03							
391	1.14E-03							
392	1.12E-03							
393	1.13E-03							
394	1.12E-03							
395	1.19E-03							
396	1.23E-03							
397	1.28E-03							
398	1.31E-03							
399	1.37E-03							
400	1.35E-03							
401	1.33E-03							
402	1.32E-03							
403	1.31E-03							
404	1.29E-03							
405	1.34E-03							
406	1.38E-03							
407	1.43E-03							
408	1.46E-03							
409	1.51E-03							
410	1.51E-03							
411	1.55E-03							
412	1.60E-03							
413	1.64E-03							
414	1.70E-03							
415	1.73E-03							
416	1.77E-03							
417	1.82E-03							
418	1.83E-03							
419	1.83E-03							
420	1.80E-03							
421	1.80E-03							
422	1.78E-03							
423	1.77E-03							
424	1.77E-03							
425	1.76E-03							
426	1.76E-03							
427	1.79E-03							
428	1.84E-03							
429	1.88E-03							
430	1.92E-03							
431	1.94E-03							
432	1.96E-03							
433	2.00E-03							
434	2.01E-03							
435	2.01E-03							
436	2.00E-03							
437	1.98E-03							
438	1.96E-03							
439	1.94E-03							
440	1.94E-03							
441	1.90E-03							
442	1.86E-03							
443	1.80E-03							
444	1.75E-03							
445	1.70E-03							
446	1.64E-03							
447	1.58E-03							
448	1.52E-03							
449	1.47E-03							
450	1.43E-03							
451	1.40E-03							
452	1.37E-03							
453	1.32E-03							
454	1.28E-03							
455	1.25E-03							
456	1.23E-03							
457	1.21E-03							
458	1.17E-03							
459	1.15E-03							
460	1.12E-03							
461	1.11E-03							
462	1.10E-03							
463	1.08E-03							
464	1.07E-03							
465	1.05E-03							
466	1.06E-03							
467	1.06E-03							
468	1.05E-03							
469	1.04E-03							
470	1.03E-03							
471	1.02E-03							
472	1.01E-03							
473	1.01E-03							
474	9.88E-04							
475	9.62E-04							
476	9.54E-04							
477	9.30E-04							
478	9.29E-04							
479	9.17E-04							
480	9.11E-04							
481	9.10E-04							
482	9.20E-04							
483	9.16E-04							
484	9.40E-04							
485	9.59E-04							
486	9.75E-04							
487	9.86E-04							
488	1.01E-03							
489	1.01E-03							
490	0.001035251							
491	1.05E-03							
492	1.06E-03							
493	1.08E-03							
494	1.10E-03							
495	1.12E-03							
496	1.15E-03							
497	1.18E-03							
498	1.20E-03							
499	1.21E-03							
500	1.22E-03							
501	1.21E-03							
502	1.22E-03							
503	1.22E-03							
504	1.24E-03							
505	1.23E-03							
506	1.24E-03							
507	1.25E-03							
508	1.26E-03							
509	1.27E-03							
510	1.27E-03							
511	1.28E-03							
512	1.27E-03							
513	1.28E-03							
514	1.30E-03							
515	1.31E-03							
516	1.34E-03							
517	1.35E-03							
518	1.40E-03							
519	1.42E-03							
520	1.44E-03							
521	1.46E-03							
522	1.49E-03							
523	1.52E-03							
524	1.54E-03							
525	1.56E-03							
526	1.58E-03							
527	1.62E-03							
528	1.65E-03							
529	1.67E-03							
530	1.70E-03							
531	1.71E-03							
532	1.73E-03							
533	1.74E-03							
534	1.75E-03							
535	1.78E-03							
536	1.82E-03							
537	1.85E-03							
538	1.88E-03							
539	1.92E-03							
540	1.94E-03							
541	1.97E-03							
542	1.99E-03							
543	2.01E-03							
544	2.03E-03							
545	2.04E-03							
546	2.06E-03							
547	2.11E-03							
548	2.17E-03							
549	2.20E-03							
550	2.24E-03							
551	2.27E-03							
552	2.31E-03							
553	2.35E-03							
554	2.37E-03							
555	2.39E-03							
556	2.39E-03							
557	2.39E-03							
558	2.41E-03							
559	2.44E-03							
560	2.47E-03							
561	2.48E-03							
562	2.50E-03							
563	2.54E-03							
564	2.56E-03							
565	2.59E-03							
566	2.62E-03							
567	2.63E-03							
568	2.61E-03							
569	2.61E-03							
570	2.59E-03							
571	2.54E-03							
572	2.48E-03							
573	2.39E-03							
574	2.27E-03							
575	2.17E-03							
576	2.01E-03							
577	1.86E-03							
578	1.69E-03							
579	1.52E-03							
580	1.37E-03							
581	1.25E-03							
582	1.12E-03							
583	1.01E-03							
584	9.12E-04							
585	8.34E-04							
586	7.66E-04							
587	7.17E-04							
588	6.58E-04							
589	6.18E-04							
590	5.84E-04							
591	5.52E-04							
592	5.38E-04							
593	5.21E-04							
594	5.01E-04							
595	4.90E-04							
596	4.75E-04							
597	4.58E-04							
598	4.44E-04							
599	4.39E-04							
600	4.36E-04							
601	4.31E-04							
602	4.36E-04							
603	4.41E-04							
604	4.42E-04							
605	4.34E-04							
606	4.33E-04							
607	4.38E-04							
608	4.51E-04							
609	4.52E-04							
610	4.62E-04							
611	4.66E-04							
612	4.89E-04							
613	5.03E-04							
614	5.27E-04							
615	5.35E-04							
616	5.25E-04							
617	5.23E-04							
618	5.20E-04							
619	5.16E-04							
620	5.13E-04							
621	5.17E-04							
622	5.10E-04							
623	5.14E-04							
624	5.30E-04							
625	5.25E-04							
626	5.24E-04							
627	5.43E-04							
628	5.51E-04							
629	5.69E-04							
630	5.52E-04							
631	5.54E-04							
632	5.45E-04							
633	5.49E-04							
634	5.37E-04							
635	5.34E-04							
636	5.32E-04							
637	5.13E-04							
638	4.95E-04							
639	4.92E-04							
640	4.84E-04							
641	4.77E-04							
642	4.68E-04							
643	4.75E-04							
644	4.72E-04							
645	4.67E-04							
646	4.82E-04							
647	5.04E-04							
648	5.01E-04							
649	4.90E-04							
650	4.66E-04							
651	4.67E-04							
652	4.83E-04							
653	4.86E-04							
654	5.13E-04							
655	5.48E-04							
656	5.83E-04							
657	6.10E-04							
658	6.65E-04							
659	6.89E-04							
660	7.10E-04							
661	7.54E-04							
662	8.01E-04							
663	8.65E-04							
664	9.39E-04							
665	9.96E-04							
666	1.06E-03							
667	1.13E-03							
668	1.17E-03							
669	1.21E-03							
670	1.26E-03							
671	1.29E-03							
672	1.32E-03							
673	1.33E-03							
674	1.36E-03							
675	1.39E-03							
676	1.43E-03							
677	1.47E-03							
678	1.51E-03							
679	1.55E-03							
680	1.60E-03							
681	1.62E-03							
682	1.62E-03							
683	1.62E-03							
684	1.58E-03							
685	1.50E-03							
686	1.42E-03							
687	1.31E-03							
688	1.19E-03							
689	1.04E-03							
690	8.88E-04							
691	7.70E-04							
692	7.20E-04							
693	5.83E-04							
694	4.80E-04							
695	3.94E-04							
696	3.07E-04							
697	2.53E-04							
698	2.03E-04							
699	1.58E-04							
700	7.87E-05							
701	-2.84E-05							
702	-6.22E-05							
703	-3.73E-05							
704	9.19E-06							
705	-1.46E-05							
706	-6.40E-05							
707	-1.46E-04							
708	-2.68E-04							
709	-4.37E-04							
710	-6.59E-04							
