OLIS-3D-ASCII	SySl1197				
375	6.16E-05				
376	2.99E-04				
377	4.48E-04				
378	5.26E-04				
379	5.49E-04				
380	5.34E-04				
381	4.97E-04				
382	4.67E-04				
383	4.50E-04				
384	5.14E-04				
385	5.56E-04				
386	5.80E-04				
387	6.05E-04				
388	6.50E-04				
389	7.07E-04				
390	7.55E-04				
391	7.47E-04				
392	7.36E-04				
393	7.28E-04				
394	7.06E-04				
395	7.05E-04				
396	7.08E-04				
397	7.19E-04				
398	7.03E-04				
399	7.06E-04				
400	7.21E-04				
401	7.30E-04				
402	7.79E-04				
403	7.87E-04				
404	8.54E-04				
405	8.92E-04				
406	9.13E-04				
407	9.47E-04				
408	9.61E-04				
409	1.04E-03				
410	1.08E-03				
411	1.10E-03				
412	1.11E-03				
413	1.15E-03				
414	1.15E-03				
415	1.18E-03				
416	1.22E-03				
417	1.21E-03				
418	1.24E-03				
419	1.25E-03				
420	1.25E-03				
421	1.27E-03				
422	1.28E-03				
423	1.28E-03				
424	1.26E-03				
425	1.26E-03				
426	1.25E-03				
427	1.27E-03				
428	1.28E-03				
429	1.28E-03				
430	1.33E-03				
431	1.35E-03				
432	1.37E-03				
433	1.38E-03				
434	1.42E-03				
435	1.45E-03				
436	1.47E-03				
437	1.49E-03				
438	1.49E-03				
439	1.47E-03				
440	1.46E-03				
441	1.45E-03				
442	1.42E-03				
443	1.41E-03				
444	1.37E-03				
445	1.34E-03				
446	1.30E-03				
447	1.28E-03				
448	1.26E-03				
449	1.22E-03				
450	1.17E-03				
451	1.12E-03				
452	1.08E-03				
453	1.06E-03				
454	1.03E-03				
455	9.98E-04				
456	9.74E-04				
457	9.58E-04				
458	9.40E-04				
459	9.32E-04				
460	9.29E-04				
461	9.26E-04				
462	9.19E-04				
463	9.07E-04				
464	9.04E-04				
465	9.07E-04				
466	9.05E-04				
467	8.77E-04				
468	8.69E-04				
469	8.49E-04				
470	8.45E-04				
471	8.29E-04				
472	8.25E-04				
473	8.11E-04				
474	8.02E-04				
475	7.88E-04				
476	7.70E-04				
477	7.46E-04				
478	7.28E-04				
479	7.09E-04				
480	7.03E-04				
481	7.04E-04				
482	7.18E-04				
483	7.18E-04				
484	7.34E-04				
485	7.44E-04				
486	7.61E-04				
487	7.73E-04				
488	7.80E-04				
489	7.88E-04				
490	7.93E-04				
491	8.05E-04				
492	8.17E-04				
493	8.29E-04				
494	8.41E-04				
495	8.42E-04				
496	8.45E-04				
497	8.55E-04				
498	8.58E-04				
499	8.60E-04				
500	8.52E-04				
501	8.32E-04				
502	8.17E-04				
503	8.15E-04				
504	8.13E-04				
505	8.17E-04				
506	8.23E-04				
507	8.21E-04				
508	8.37E-04				
509	8.46E-04				
510	8.40E-04				
511	8.27E-04				
512	8.18E-04				
513	8.11E-04				
514	7.99E-04				
515	8.05E-04				
516	8.11E-04				
517	8.10E-04				
518	8.15E-04				
519	8.14E-04				
520	8.14E-04				
521	8.15E-04				
522	8.20E-04				
523	8.14E-04				
524	8.22E-04				
525	8.22E-04				
526	8.14E-04				
527	8.26E-04				
528	8.35E-04				
529	8.36E-04				
530	8.51E-04				
531	8.45E-04				
532	8.66E-04				
533	8.88E-04				
534	8.94E-04				
535	9.06E-04				
536	9.20E-04				
537	9.26E-04				
538	9.23E-04				
539	9.33E-04				
540	9.51E-04				
541	9.59E-04				
542	9.77E-04				
543	9.91E-04				
544	1.02E-03				
545	1.03E-03				
546	0.001044116				
547	1.07E-03				
548	1.09E-03				
549	1.12E-03				
550	1.12E-03				
551	1.13E-03				
552	1.13E-03				
553	1.14E-03				
554	1.15E-03				
555	1.16E-03				
556	1.16E-03				
557	1.16E-03				
558	1.17E-03				
559	1.20E-03				
560	1.23E-03				
561	1.27E-03				
562	1.29E-03				
563	1.31E-03				
564	1.32E-03				
565	1.33E-03				
566	1.33E-03				
567	1.33E-03				
568	1.33E-03				
569	1.32E-03				
570	1.32E-03				
571	1.30E-03				
572	1.27E-03				
573	1.23E-03				
574	1.19E-03				
575	1.12E-03				
576	1.05E-03				
577	9.70E-04				
578	8.94E-04				
579	8.20E-04				
580	7.73E-04				
581	7.22E-04				
582	6.79E-04				
583	6.20E-04				
584	5.84E-04				
585	5.49E-04				
586	5.35E-04				
587	5.10E-04				
588	4.79E-04				
589	4.52E-04				
590	4.36E-04				
591	4.19E-04				
592	4.17E-04				
593	4.06E-04				
594	4.00E-04				
595	3.87E-04				
596	3.94E-04				
597	4.01E-04				
598	4.09E-04				
599	4.03E-04				
600	3.89E-04				
601	3.74E-04				
602	3.74E-04				
603	3.69E-04				
604	3.64E-04				
605	3.64E-04				
606	3.71E-04				
607	3.75E-04				
608	3.85E-04				
609	0.00040836				
610	4.29E-04				
611	4.26E-04				
612	4.32E-04				
613	4.35E-04				
614	4.46E-04				
615	4.51E-04				
616	4.61E-04				
617	4.67E-04				
618	4.64E-04				
619	4.59E-04				
620	4.61E-04				
621	4.59E-04				
622	4.64E-04				
623	4.59E-04				
624	4.55E-04				
625	4.48E-04				
626	4.28E-04				
627	4.27E-04				
628	4.35E-04				
629	4.32E-04				
630	4.15E-04				
631	4.09E-04				
632	4.18E-04				
633	4.20E-04				
634	4.30E-04				
635	4.45E-04				
636	4.38E-04				
637	4.36E-04				
638	4.25E-04				
639	4.25E-04				
640	4.14E-04				
641	3.97E-04				
642	3.72E-04				
643	3.55E-04				
644	3.50E-04				
645	3.33E-04				
646	3.29E-04				
647	3.35E-04				
648	3.57E-04				
649	3.67E-04				
650	4.02E-04				
651	4.15E-04				
652	4.26E-04				
653	4.41E-04				
654	4.66E-04				
655	4.69E-04				
656	4.92E-04				
657	4.91E-04				
658	5.02E-04				
659	5.25E-04				
660	5.51E-04				
661	5.81E-04				
662	6.41E-04				
663	6.86E-04				
664	7.26E-04				
665	7.60E-04				
666	8.12E-04				
667	8.56E-04				
668	9.04E-04				
669	9.30E-04				
670	9.72E-04				
671	1.00E-03				
672	1.03E-03				
673	1.07E-03				
674	1.12E-03				
675	1.16E-03				
676	1.21E-03				
677	1.23E-03				
678	1.27E-03				
679	1.28E-03				
680	1.27E-03				
681	1.27E-03				
682	1.29E-03				
683	1.27E-03				
684	1.26E-03				
685	1.23E-03				
686	1.17E-03				
687	0.001076737				
688	1.07E-03				
689	9.99E-04				
690	9.16E-04				
691	8.17E-04				
692	6.83E-04				
693	5.93E-04				
694	5.24E-04				
695	5.03E-04				
696	4.47E-04				
697	3.99E-04				
698	3.33E-04				
699	3.91E-04				
700	4.57E-04				
701	4.54E-04				
702	4.96E-04				
703	4.85E-04				
704	4.66E-04				
705	4.59E-04				
706	4.31E-04				
707	3.72E-04				
708	2.76E-04				
709	1.32E-04				
710	-6.71E-05				
