OLIS-3D-ASCII	SySl1260					
375	6.88E-03					
376	7.01E-03					
377	7.14E-03					
378	7.26E-03					
379	7.36E-03					
380	7.46E-03					
381	7.54E-03					
382	7.65E-03					
383	7.68E-03					
384	7.68E-03					
385	7.67E-03					
386	7.68E-03					
387	7.65E-03					
388	7.62E-03					
389	7.61E-03					
390	7.69E-03					
391	7.70E-03					
392	7.65E-03					
393	7.69E-03					
394	7.76E-03					
395	7.80E-03					
396	7.88E-03					
397	7.97E-03					
398	8.03E-03					
399	8.17E-03					
400	8.22E-03					
401	8.31E-03					
402	8.49E-03					
403	8.58E-03					
404	8.73E-03					
405	8.92E-03					
406	9.11E-03					
407	9.32E-03					
408	9.54E-03					
409	9.74E-03					
410	9.96E-03					
411	1.02E-02					
412	1.04E-02					
413	1.06E-02					
414	1.09E-02					
415	1.11E-02					
416	1.14E-02					
417	1.16E-02					
418	1.19E-02					
419	1.21E-02					
420	1.23E-02					
421	1.25E-02					
422	1.27E-02					
423	0.012794563					
424	1.29E-02					
425	1.30E-02					
426	1.31E-02					
427	1.32E-02					
428	1.33E-02					
429	1.33E-02					
430	1.34E-02					
431	1.35E-02					
432	1.36E-02					
433	1.38E-02					
434	1.39E-02					
435	1.40E-02					
436	1.42E-02					
437	1.44E-02					
438	1.46E-02					
439	1.47E-02					
440	1.48E-02					
441	1.50E-02					
442	1.51E-02					
443	1.51E-02					
444	0.015172558					
445	1.52E-02					
446	1.51E-02					
447	1.50E-02					
448	1.49E-02					
449	1.47E-02					
450	1.45E-02					
451	1.42E-02					
452	1.39E-02					
453	1.35E-02					
454	1.32E-02					
455	1.28E-02					
456	0.012469209					
457	1.21E-02					
458	1.17E-02					
459	1.13E-02					
460	0.010915975					
461	1.05E-02					
462	1.01E-02					
463	9.75E-03					
464	9.41E-03					
465	9.10E-03					
466	8.82E-03					
467	8.56E-03					
468	8.33E-03					
469	8.12E-03					
470	7.96E-03					
471	7.80E-03					
472	7.66E-03					
473	7.51E-03					
474	7.37E-03					
475	0.007234121					
476	7.13E-03					
477	0.007043883					
478	6.96E-03					
479	6.88E-03					
480	6.84E-03					
481	6.82E-03					
482	6.81E-03					
483	6.80E-03					
484	6.79E-03					
485	6.77E-03					
486	6.76E-03					
487	6.75E-03					
488	6.75E-03					
489	6.71E-03					
490	6.67E-03					
491	6.62E-03					
492	6.57E-03					
493	6.50E-03					
494	6.43E-03					
495	6.33E-03					
496	6.23E-03					
497	6.13E-03					
498	6.02E-03					
499	5.90E-03					
500	5.75E-03					
501	5.58E-03					
502	5.40E-03					
503	5.21E-03					
504	5.01E-03					
505	4.81E-03					
506	4.59E-03					
507	4.36E-03					
508	4.15E-03					
509	3.94E-03					
510	3.72E-03					
511	3.50E-03					
512	3.28E-03					
513	3.08E-03					
514	2.89E-03					
515	2.71E-03					
516	2.54E-03					
517	2.37E-03					
518	2.21E-03					
519	2.07E-03					
520	1.93E-03					
521	1.80E-03					
522	1.67E-03					
523	1.55E-03					
524	1.45E-03					
525	1.34E-03					
526	1.26E-03					
527	1.19E-03					
528	1.14E-03					
529	1.08E-03					
530	1.05E-03					
531	1.02E-03					
532	9.92E-04					
533	9.68E-04					
534	9.37E-04					
535	9.04E-04					
536	8.80E-04					
537	8.47E-04					
538	8.30E-04					
539	8.22E-04					
540	8.06E-04					
541	7.91E-04					
542	7.88E-04					
543	7.76E-04					
544	7.63E-04					
545	7.51E-04					
546	7.30E-04					
547	7.09E-04					
548	6.90E-04					
549	6.73E-04					
550	6.70E-04					
551	6.53E-04					
552	6.40E-04					
553	6.38E-04					
554	6.42E-04					
555	6.34E-04					
556	6.33E-04					
557	6.33E-04					
558	6.28E-04					
559	6.13E-04					
560	6.05E-04					
561	6.23E-04					
562	6.26E-04					
563	6.12E-04					
564	6.07E-04					
565	5.96E-04					
566	5.98E-04					
567	5.88E-04					
568	5.87E-04					
569	5.81E-04					
570	5.81E-04					
571	5.91E-04					
572	6.05E-04					
573	6.34E-04					
574	6.51E-04					
575	6.73E-04					
576	6.84E-04					
577	7.07E-04					
578	7.35E-04					
579	7.51E-04					
580	7.69E-04					
581	7.80E-04					
582	7.95E-04					
583	7.97E-04					
584	8.00E-04					
585	8.06E-04					
586	8.27E-04					
587	8.40E-04					
588	8.43E-04					
589	8.62E-04					
590	8.66E-04					
591	8.86E-04					
592	9.19E-04					
593	9.31E-04					
594	9.41E-04					
595	9.40E-04					
596	9.51E-04					
597	9.65E-04					
598	9.76E-04					
599	9.83E-04					
600	9.86E-04					
601	9.96E-04					
602	1.01E-03					
603	1.04E-03					
604	1.07E-03					
605	1.10E-03					
606	1.13E-03					
607	1.14E-03					
608	1.17E-03					
609	1.20E-03					
610	1.22E-03					
611	1.26E-03					
612	1.29E-03					
613	1.33E-03					
614	1.36E-03					
615	1.40E-03					
616	1.44E-03					
617	1.47E-03					
618	1.49E-03					
619	1.49E-03					
620	1.51E-03					
621	1.52E-03					
622	1.53E-03					
623	1.56E-03					
624	1.59E-03					
625	1.63E-03					
626	1.64E-03					
627	1.69E-03					
628	1.70E-03					
629	1.73E-03					
630	0.001750211					
631	1.76E-03					
632	1.77E-03					
633	1.78E-03					
634	1.77E-03					
635	1.77E-03					
636	1.76E-03					
637	1.75E-03					
638	1.72E-03					
639	1.71E-03					
640	1.70E-03					
641	1.69E-03					
642	1.69E-03					
643	1.71E-03					
644	1.74E-03					
645	1.77E-03					
646	1.79E-03					
647	1.85E-03					
648	1.92E-03					
649	1.98E-03					
650	2.06E-03					
651	2.14E-03					
652	2.24E-03					
653	2.35E-03					
654	2.48E-03					
655	2.66E-03					
656	2.86E-03					
657	3.09E-03					
658	3.36E-03					
659	3.70E-03					
660	4.07E-03					
661	4.45E-03					
662	4.91E-03					
663	5.38E-03					
664	5.89E-03					
665	6.38E-03					
666	6.91E-03					
667	7.42E-03					
668	7.89E-03					
669	8.31E-03					
670	8.67E-03					
671	8.97E-03					
672	9.17E-03					
673	9.30E-03					
674	9.35E-03					
675	9.34E-03					
676	9.27E-03					
677	9.14E-03					
678	0.009056739					
679	8.91E-03					
680	8.73E-03					
681	8.45E-03					
682	8.16E-03					
683	7.85E-03					
684	7.46E-03					
685	7.05E-03					
686	6.58E-03					
687	6.07E-03					
688	5.52E-03					
689	5.00E-03					
690	4.53E-03					
691	4.02E-03					
692	3.52E-03					
693	3.01E-03					
694	2.57E-03					
695	2.20E-03					
696	1.86E-03					
697	1.54E-03					
698	1.31E-03					
699	1.07E-03					
700	8.68E-04					
701	7.58E-04					
702	6.98E-04					
703	5.22E-04					
704	3.30E-04					
705	1.57E-04					
706	2.91E-05					
707	-3.09E-05					
708	-7.19E-07					
709	1.42E-04					
710	4.20E-04					
