OLIS-3D-ASCII	SySl1325						
375	7.36E-04						
376	6.52E-04						
377	6.37E-04						
378	6.77E-04						
379	7.59E-04						
380	8.67E-04						
381	9.87E-04						
382	1.13E-03						
383	1.17E-03						
384	1.19E-03						
385	1.18E-03						
386	1.24E-03						
387	1.25E-03						
388	1.20E-03						
389	1.20E-03						
390	1.18E-03						
391	1.18E-03						
392	1.22E-03						
393	1.24E-03						
394	1.27E-03						
395	1.26E-03						
396	1.25E-03						
397	1.25E-03						
398	1.28E-03						
399	1.33E-03						
400	1.38E-03						
401	1.42E-03						
402	1.45E-03						
403	1.44E-03						
404	1.45E-03						
405	1.45E-03						
406	1.44E-03						
407	1.42E-03						
408	1.39E-03						
409	1.40E-03						
410	1.39E-03						
411	1.42E-03						
412	1.43E-03						
413	1.45E-03						
414	1.46E-03						
415	1.43E-03						
416	0.001415811						
417	1.42E-03						
418	1.41E-03						
419	1.40E-03						
420	1.42E-03						
421	1.43E-03						
422	1.43E-03						
423	1.42E-03						
424	1.41E-03						
425	1.41E-03						
426	1.39E-03						
427	1.37E-03						
428	1.35E-03						
429	1.34E-03						
430	1.32E-03						
431	1.32E-03						
432	1.32E-03						
433	1.30E-03						
434	1.31E-03						
435	1.28E-03						
436	1.27E-03						
437	1.26E-03						
438	1.24E-03						
439	1.23E-03						
440	1.21E-03						
441	1.19E-03						
442	1.17E-03						
443	1.14E-03						
444	1.10E-03						
445	1.06E-03						
446	1.03E-03						
447	9.91E-04						
448	9.62E-04						
449	9.32E-04						
450	8.84E-04						
451	8.62E-04						
452	8.17E-04						
453	7.87E-04						
454	7.64E-04						
455	7.42E-04						
456	7.20E-04						
457	7.07E-04						
458	7.04E-04						
459	7.02E-04						
460	6.84E-04						
461	6.80E-04						
462	6.57E-04						
463	6.30E-04						
464	6.20E-04						
465	6.12E-04						
466	6.13E-04						
467	6.19E-04						
468	6.06E-04						
469	5.93E-04						
470	6.04E-04						
471	5.97E-04						
472	6.08E-04						
473	6.11E-04						
474	5.94E-04						
475	5.84E-04						
476	5.89E-04						
477	5.88E-04						
478	5.84E-04						
479	5.88E-04						
480	5.68E-04						
481	5.69E-04						
482	5.74E-04						
483	5.81E-04						
484	6.04E-04						
485	5.93E-04						
486	5.79E-04						
487	5.94E-04						
488	5.92E-04						
489	5.99E-04						
490	5.90E-04						
491	5.91E-04						
492	5.88E-04						
493	5.94E-04						
494	5.95E-04						
495	6.04E-04						
496	6.11E-04						
497	6.06E-04						
498	6.13E-04						
499	6.33E-04						
500	6.28E-04						
501	6.26E-04						
502	6.35E-04						
503	6.51E-04						
504	6.63E-04						
505	6.71E-04						
506	6.72E-04						
507	6.73E-04						
508	6.81E-04						
509	6.79E-04						
510	6.90E-04						
511	6.85E-04						
512	6.87E-04						
513	6.96E-04						
514	7.09E-04						
515	7.15E-04						
516	7.27E-04						
517	7.39E-04						
518	7.41E-04						
519	7.45E-04						
520	7.48E-04						
521	7.27E-04						
522	7.24E-04						
523	7.04E-04						
524	7.08E-04						
525	6.88E-04						
526	6.79E-04						
527	6.67E-04						
528	6.69E-04						
529	6.79E-04						
530	6.73E-04						
531	6.68E-04						
532	6.54E-04						
533	6.44E-04						
534	6.40E-04						
535	6.38E-04						
536	6.36E-04						
537	6.28E-04						
538	6.29E-04						
539	6.24E-04						
540	6.26E-04						
541	6.37E-04						
542	6.33E-04						
543	6.24E-04						
544	6.20E-04						
545	6.11E-04						
546	5.90E-04						
547	5.88E-04						
548	5.74E-04						
549	5.75E-04						
550	5.68E-04						
551	5.89E-04						
552	5.94E-04						
553	5.97E-04						
554	6.01E-04						
555	6.00E-04						
556	5.91E-04						
557	5.78E-04						
558	5.66E-04						
559	5.61E-04						
560	5.61E-04						
561	5.73E-04						
562	5.72E-04						
563	5.91E-04						
564	5.87E-04						
565	5.97E-04						
566	6.11E-04						
567	6.14E-04						
568	6.09E-04						
569	6.23E-04						
570	6.14E-04						
571	6.15E-04						
572	6.18E-04						
573	6.15E-04						
574	6.01E-04						
575	5.95E-04						
576	5.92E-04						
577	6.07E-04						
578	6.10E-04						
579	6.07E-04						
580	6.18E-04						
581	6.30E-04						
582	6.24E-04						
583	6.35E-04						
584	6.44E-04						
585	6.43E-04						
586	6.42E-04						
587	6.45E-04						
588	6.47E-04						
