Source DataFile                                                        ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Tau2QA,    Tau3QA,    Tau4QA,    Alp1QA,    Alp2QA,    Alp3QA,    Alp4QA,     Alpha,        Ek,      Pmax,        Fv
-----------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:39:27,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.25,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,5.2459,0.9625,95.38,34.9,61.95,0.4367,0.043,781,1819,11531,405299,0.4492,0.5007,0.0324,0.0177,0.66,177.8,116.75,27.05
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:39:29,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.38,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,1.8139,0.9565,99.19,36.29,62.56,0.42,0.039,378,1393,6521,205439,0.2326,0.7083,0.0503,0.0088,0.61,517.31,316.97,26.28
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:39:40,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-72.91,0,0,  NO DATA,    '10000,20,0,0,0,0,0,111,1.4035,0.9568,114.16,37.36,65.89,0.433,0.163,331,1264,12496,174415,0.3672,0.6152,0.0143,0.0033,0.72,869.88,626.25,28.53
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:39:42,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.62,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,16.737,0.9398,81.56,39.07,73.17,0.466,0,782,1987,3234,18078,0.778,0.0695,0.1471,0.0054,0.49,1544.07,758.4,34.1
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:39:53,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-72.64,0,0,  NO DATA,    '10000,40,0,0,0,0,0,101,1.446,0.9622,119.18,37.69,68.78,0.452,0.247,382,1238,16127,327500,0.4318,0.5527,0.0129,0.0026,0.78,739.51,578.49,31.09
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:39:55,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.9,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,2.5292,0.9642,109.25,36.92,70.43,0.4758,0.075,471,1370,1615,8019,0.2773,0.3102,0.3885,0.0239,0.67,1104.86,739.35,33.51
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:40:06,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-71.93,0,0,  NO DATA,    '10000,80,0,0,0,0,0,111,1.6231,0.9572,115.67,38.38,70.65,0.4568,0.231,352,1158,1244,25655,0.4419,0.2989,0.2475,0.0117,0.73,1305.44,956.95,32.28
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:40:08,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.65,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,4.6904,0.9639,107.43,36.24,72.24,0.4984,0.047,529,1589,6114,6138,0.3051,0.6656,0.0101,0.0192,0.65,1105.05,722.47,36
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:40:19,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-69.15,0,0,  NO DATA,    '10000,160,0,0,0,0,0,111,1.3829,0.9515,112.45,38.44,70.58,0.4554,0.168,331,1126,24825,1566315,0.4129,0.5721,0.0132,0.0018,0.74,655.48,486.9,32.14
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:40:21,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.62,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,6.2769,0.9633,104.24,35.49,72.81,0.5125,0.02,415,577,1666,6116,0.0141,0.2852,0.6752,0.0255,0.63,1097.66,692.12,37.32
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:40:32,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-65.57,0,0,  NO DATA,    '10000,320,0,0,0,0,0,111,1.4815,0.9463,111.19,39.44,69.35,0.4312,0.099,300,1078,23369,214271,0.3694,0.6142,0.0125,0.0039,0.69,782.63,542.62,29.91
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:40:34,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-74.06,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,15.1286,0.9645,100.89,37.39,74.71,0.4995,0,818,1991,6562,6594,0.4441,0.5487,0.0023,0.0049,0.61,1094.94,665.25,37.32
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:40:45,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-69.55,0,0,  NO DATA,    '10000,160,0,0,0,0,0,111,2.1078,0.9529,114.45,37.44,70.91,0.472,0.196,294,1080,17701,224748,0.3734,0.6133,0.0111,0.0022,0.73,1005.43,730.97,33.47
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:40:47,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.46,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,14.5247,0.9649,101.78,38.62,76.74,0.4968,0.018,864,1894,6298,6351,0.4952,0.4952,0.0023,0.0073,0.62,1144.06,703.98,38.12
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:40:58,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-71.37,0,0,  NO DATA,    '10000,80,0,0,0,0,0,111,6.9308,0.9633,113.92,40.91,74.98,0.4544,0.243,383,1089,15367,17483,0.2998,0.6926,0.001,0.0066,0.72,1484.22,1070.52,34.07
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:41:00,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.1,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,6.0654,0.9567,107.14,34.83,75.28,0.5373,0.048,282,1293,4212,5995,0.2119,0.7327,0.0448,0.0106,0.65,1232.53,803.33,40.45
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:41:11,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-72.14,0,0,  NO DATA,    '10000,40,0,0,0,0,0,111,4.1447,0.9596,114.89,37.28,73.24,0.4909,0.22,306,1082,13537,15535,0.2917,0.6994,0.0026,0.0063,0.72,1501.57,1086.21,35.96
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:41:13,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.3,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,9999,0.521,14.21,43.79,83.83,0.4776,0,1775,1895,14900,151668,0.9011,0.0879,0.0072,0.0038,0.1,3236.88,323.69,40.03
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:41:24,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-72.83,0,0,  NO DATA,    '10000,20,0,0,0,0,0,111,1.4903,0.9642,117.23,35.58,69.87,0.4908,0.218,273,1169,10312,25624,0.229,0.7588,0.0097,0.0025,0.74,1279.55,948.13,34.3
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:41:26,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.28,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,5.1292,0.9567,104.87,34.67,73.22,0.5265,0.022,327,1328,5360,5568,0.2065,0.7578,0.015,0.0207,0.63,1248.48,792.07,38.55
C:\LIFT\DATA\PicoBaltic\90024\2023081811539_PICO_SySl1322_445_data.csv , 2023/08/18, 15:41:37,1.69238E+12,--Not Acquired--     ,--Not Acquired--     ,-73.29,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,9999,0.5453,15.26,40.98,79.42,0.484,0,1460,1794,17565,213316,0.0824,0.9063,0.0072,0.0041,0.1,3305.11,330.51,38.44
