Source DataFile                                                       ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,   Light_1,   Light_2,   Light_3,   Light_4,   Light_5,   Light_6, Dur-Wat,      ChiSq,  QARredMax,       Sig,        Fo,        Fm,     Fv/Fm,         p,    Tau1QA,    Tau2QA,    Tau3QA,    Tau4QA,    Alp1QA,    Alp2QA,    Alp3QA,    Alp4QA,     Alpha,        Ek,      Pmax,        Fv
----------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,----------,----------,----------,----------,----------,----------,--------,-----------,-----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------
C:\LIFT\DATA\PicoBaltic\90024\202308241340_PICO_SySl1318_445_data.csv , 2023/08/24, 13:42:57,1.6929E+12,--Not Acquired--     ,--Not Acquired--     ,510.76,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,1.0677,0.9547,76.27,47.98,62.06,0.2269,0.037,774,3203,31375,1.00E+07,0.4249,0.5083,0.043,0.0238,1.03,23.28,23.9,14.08
C:\LIFT\DATA\PicoBaltic\90024\202308241340_PICO_SySl1318_445_data.csv , 2023/08/24, 13:42:59,1.6929E+12,--Not Acquired--     ,--Not Acquired--     ,510.79,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,1.9049,0.9599,80.05,48.73,61.91,0.2129,0.097,724,2847,21046,575975,0.413,0.5324,0.0394,0.0152,0.58,174.05,100.3,13.18
C:\LIFT\DATA\PicoBaltic\90024\202308241340_PICO_SySl1318_445_data.csv , 2023/08/24, 13:43:10,1.6929E+12,--Not Acquired--     ,--Not Acquired--     ,510.89,0,0,  NO DATA,    '10000,20,0,0,0,0,0,111,1.6691,0.9565,83.12,49.52,62.76,0.2109,0.093,620,2730,23030,1.00E+07,0.4369,0.5284,0.0306,0.0041,0.57,328.31,186.57,13.24
C:\LIFT\DATA\PicoBaltic\90024\202308241340_PICO_SySl1318_445_data.csv , 2023/08/24, 13:43:12,1.6929E+12,--Not Acquired--     ,--Not Acquired--     ,511.03,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,1.3079,0.9556,78.86,48.79,62.66,0.2214,0.123,612,2783,16315,538506,0.4297,0.5203,0.0417,0.0083,0.53,323.95,171.8,13.87
C:\LIFT\DATA\PicoBaltic\90024\202308241340_PICO_SySl1318_445_data.csv , 2023/08/24, 13:43:24,1.6929E+12,--Not Acquired--     ,--Not Acquired--     ,511.75,0,0,  NO DATA,    '10000,40,0,0,0,0,0,111,1.314,0.9505,83.7,49.78,63.01,0.2101,0,624,2539,12920,170885,0.4372,0.5261,0.0298,0.0069,0.51,625.93,316.78,13.24
C:\LIFT\DATA\PicoBaltic\90024\202308241340_PICO_SySl1318_445_data.csv , 2023/08/24, 13:43:26,1.6929E+12,--Not Acquired--     ,--Not Acquired--     ,511.07,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,1.2454,0.9508,79.5,48.61,62.58,0.2233,0.018,672,2742,30329,1.00E+07,0.4348,0.5331,0.0268,0.0053,0.55,273.82,150.76,13.98
C:\LIFT\DATA\PicoBaltic\90024\202308241340_PICO_SySl1318_445_data.csv , 2023/08/24, 13:43:37,1.6929E+12,--Not Acquired--     ,--Not Acquired--     ,512.38,0,0,  NO DATA,    '10000,80,0,0,0,0,0,111,1.5352,0.9454,80.67,49.98,63.48,0.2127,0,661,2811,20192,1.00E+07,0.5237,0.4539,0.0193,0.0031,0.52,469.92,244.13,13.5
C:\LIFT\DATA\PicoBaltic\90024\202308241340_PICO_SySl1318_445_data.csv , 2023/08/24, 13:43:39,1.6929E+12,--Not Acquired--     ,--Not Acquired--     ,510.04,0,0,  NO DATA,    '10000,0,0,0,0,0,0,111,1.1005,0.9514,79.79,48.56,62.48,0.2228,0,729,2840,28052,1.00E+07,0.4511,0.5199,0.0251,0.0039,0.52,364.47,189.84,13.92
C:\LIFT\DATA\PicoBaltic\90024\202308241340_PICO_SySl1318_445_data.csv , 2023/08/24, 13:43:50,1.6929E+12,--Not Acquired--     ,--Not Acquired--     ,514.34,0,0,  NO DATA,    '10000,160,0,0,0,0,0,111,1.3516,0.9551,87.57,50.33,62.8,0.1985,0.019,630,2546,25200,475151,0.431,0.5512,0.0113,0.0065,0.56,402.59,224.67,12.47
