Source DataFile                                                    ,    DATE   ,   TIME  ,    Time__mSec   , RFID_User_Data      , Barcode_Data        ,     PIF ,        Lon,         Lat, GPS_stat,    LEDSel,  Light_1, Light_2, Light_3, Light_4, Light_5, Light_6,      ChiSq,        Fo,         Fm,         Fv,   Fv/Fm,   Fv/Fo,      Sig,       p,      fmPQ, PQP_Size, Alp1QA,   Tau1QA, Alp2QA,   Tau2QA, Alp3QA,   Tau3QA, Alp4QA,   Tau4QA, Alp1PQ,   Tau1PQ, Alp2PQ,   Tau2PQ, Alp3PQ,   Tau3PQ,      ETR,    Alpha,       Ek,     Pmax,   carQ,      carQt,    p680Q,    p680Qt, S/N_raw,   fQB  ,   PAR_3,   PAR_4,   PAR_5,   PAR_6, TPQ_PSI,  QBP_Size, 
-------------------------------------------------------------------,-----------,---------,-----------------,---------------------,---------------------,---------,-----------,------------,---------,----------,---------,--------,--------,--------,--------,--------,-----------,----------,-----------,-----------,--------,--------,---------,--------,----------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,-------,---------,---------,---------,---------,---------,-------,-----------,---------,----------,--------,--------,--------,--------,--------,--------,--------,----------,
C:\LIFT\DATA\PICO\20220619\PICO_202206192006_SySl1284_535_data.csv , 2022/06/19, 20:06:35,    1655679995567,--Not Acquired--     ,--Not Acquired--     , -118.34,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     28.745,   255.050,    609.450,    354.400,  0.5815,  1.3895,    63.60,  0.4560,     0.000,    0.000,  0.631,      527,  0.303,     4514,  0.066,   279073,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.498,   102.45,    51.02,  0.181,      19.55,    0.018,    600.00,  730.98,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220619\PICO_202206192006_SySl1284_535_data.csv , 2022/06/19, 20:06:37,    1655679997612,--Not Acquired--     ,--Not Acquired--     , -118.05,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.370,   268.550,    569.990,    301.440,  0.5289,  1.1225,    56.48,  0.2310,     0.000,    0.000,  0.474,      335,  0.396,     1418,  0.130,     7443,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.355,  1798.31,   637.88,  0.131,      47.44,    0.000,    600.00,  641.43,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220619\PICO_202206192006_SySl1284_535_data.csv , 2022/06/19, 20:06:48,    1655680008605,--Not Acquired--     ,--Not Acquired--     , -110.28,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   20.00,    0.00,    0.00,      6.666,   289.970,    625.890,    335.920,  0.5367,  1.1585,    59.23,  0.2600,     0.000,    0.000,  0.582,      244,  0.361,     1368,  0.057,    12525,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.372,  2193.22,   815.47,  0.741,      16.64,    0.003,    600.00,  573.44,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220619\PICO_202206192006_SySl1284_535_data.csv , 2022/06/19, 20:06:50,    1655680010573,--Not Acquired--     ,--Not Acquired--     , -118.48,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      9.830,   270.970,    597.700,    326.730,  0.5466,  1.2058,    59.11,  0.2580,     0.000,    0.000,  0.600,      313,  0.350,     1750,  0.051,    13093,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.372,  2009.79,   747.56,  0.349,      23.84,    0.000,    600.00,  626.83,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220619\PICO_202206192006_SySl1284_535_data.csv , 2022/06/19, 20:07:01,    1655680021571,--Not Acquired--     ,--Not Acquired--     , -102.19,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   40.00,    0.00,    0.00,      5.935,   295.990,    632.540,    336.550,  0.5321,  1.1370,    62.45,  0.2690,     0.000,    0.000,  0.582,      242,  0.368,     1372,  0.050,    15623,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.394,  1951.70,   769.38,  0.768,      15.76,    0.009,    600.00,  548.53,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220619\PICO_202206192006_SySl1284_535_data.csv , 2022/06/19, 20:07:03,    1655680023552,--Not Acquired--     ,--Not Acquired--     , -118.32,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,     12.821,   272.330,    615.860,    343.530,  0.5578,  1.2614,    59.49,  0.2660,     0.000,    0.000,  0.604,      305,  0.354,     1756,  0.042,    15012,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.375,  2031.14,   761.28,  0.383,      24.09,    0.000,    600.00,  722.95,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220619\PICO_202206192006_SySl1284_535_data.csv , 2022/06/19, 20:07:14,    1655680034587,--Not Acquired--     ,--Not Acquired--     ,  -84.47,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,   80.00,    0.00,    0.00,      5.723,   305.800,    629.900,    324.100,  0.5145,  1.0598,    63.66,  0.2380,     0.000,    0.000,  0.582,      251,  0.374,     1414,  0.043,    20488,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.401,  1717.56,   688.62,  0.751,      15.33,    0.010,    600.00,  612.25,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220619\PICO_202206192006_SySl1284_535_data.csv , 2022/06/19, 20:07:16,    1655680036568,--Not Acquired--     ,--Not Acquired--     , -118.78,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,    0.00,    0.00,    0.00,      6.592,   274.740,    645.290,    370.550,  0.5742,  1.3487,    60.59,  0.3150,     0.000,    0.000,  0.529,      247,  0.397,     1311,  0.074,     8826,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.384,  2242.69,   861.13,  0.386,      28.21,    0.003,    600.00,  626.01,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
C:\LIFT\DATA\PICO\20220619\PICO_202206192006_SySl1284_535_data.csv , 2022/06/19, 20:07:27,    1655680047546,--Not Acquired--     ,--Not Acquired--     ,  -41.85,     0.0000,      0.0000,  NO DATA,    '00010,     0.00,    0.00,    0.00,  160.00,    0.00,    0.00,      4.409,   324.980,    592.570,    267.590,  0.4516,  0.8234,    65.75,  0.1510,     0.000,    0.000,  0.558,      278,  0.395,     1380,  0.047,    26679,  0.000,        0,  0.000,        0,  0.000,        0,  0.000,        0,    0.000,    0.409,  1296.96,   530.49,  0.808,      10.84,    0.003,    600.00,  578.13,   0.000,     0.0,     0.0,     0.0,     0.0, ------ ,    1.5000,
