OLIS-3D-ASCII	SySl1040	
375	-2.21E-03	
376	-2.06E-03	
377	-1.93E-03	
378	-1.81E-03	
379	-1.70E-03	
380	-1.60E-03	
381	-1.50E-03	
382	-1.39E-03	
383	-1.29E-03	
384	-1.18E-03	
385	-1.05E-03	
386	-1.01E-03	
387	-9.02E-04	
388	-7.55E-04	
389	-6.67E-04	
390	-5.96E-04	
391	-4.85E-04	
392	-4.29E-04	
393	-3.62E-04	
394	-3.04E-04	
395	-2.26E-04	
396	-1.98E-04	
397	-1.54E-04	
398	-1.22E-04	
399	-3.40E-05	
400	4.96E-05	
401	1.32E-04	
402	2.50E-04	
403	3.46E-04	
404	4.17E-04	
405	5.51E-04	
406	6.34E-04	
407	7.79E-04	
408	8.76E-04	
409	9.70E-04	
410	1.06E-03	
411	1.16E-03	
412	1.25E-03	
413	1.34E-03	
414	0.001401966	
415	1.46E-03	
416	1.52E-03	
417	1.58E-03	
418	1.65E-03	
419	1.75E-03	
420	1.78E-03	
421	1.83E-03	
422	1.88E-03	
423	1.95E-03	
424	2.00E-03	
425	2.04E-03	
426	2.09E-03	
427	2.15E-03	
428	2.20E-03	
429	2.22E-03	
430	2.27E-03	
431	2.32E-03	
432	2.36E-03	
433	2.40E-03	
434	2.45E-03	
435	2.49E-03	
436	2.51E-03	
437	2.52E-03	
438	2.53E-03	
439	2.56E-03	
440	2.53E-03	
441	2.48E-03	
442	2.43E-03	
443	2.37E-03	
444	2.31E-03	
445	2.22E-03	
446	2.13E-03	
447	2.06E-03	
448	1.97E-03	
449	1.89E-03	
450	1.82E-03	
451	1.77E-03	
452	1.69E-03	
453	0.001617635	
454	1.57E-03	
455	1.53E-03	
456	1.50E-03	
457	1.48E-03	
458	1.47E-03	
459	1.46E-03	
460	1.44E-03	
461	1.45E-03	
462	1.43E-03	
463	1.42E-03	
464	1.39E-03	
465	1.36E-03	
466	1.35E-03	
467	1.33E-03	
468	1.30E-03	
469	1.29E-03	
470	1.26E-03	
471	1.25E-03	
472	1.23E-03	
473	1.23E-03	
474	1.21E-03	
475	1.20E-03	
476	1.19E-03	
477	1.19E-03	
478	1.20E-03	
479	1.19E-03	
480	1.18E-03	
481	1.18E-03	
482	1.18E-03	
483	1.19E-03	
484	1.19E-03	
485	1.21E-03	
486	1.22E-03	
487	1.25E-03	
488	1.29E-03	
489	1.33E-03	
490	1.37E-03	
491	1.42E-03	
492	1.46E-03	
493	1.49E-03	
494	1.52E-03	
495	1.55E-03	
496	1.56E-03	
497	1.57E-03	
498	1.57E-03	
499	1.58E-03	
500	1.59E-03	
501	1.59E-03	
502	1.59E-03	
503	1.62E-03	
504	1.61E-03	
505	1.62E-03	
506	1.63E-03	
507	1.63E-03	
508	1.63E-03	
509	1.63E-03	
510	1.64E-03	
511	1.65E-03	
512	1.67E-03	
513	1.68E-03	
514	1.71E-03	
515	1.74E-03	
516	1.75E-03	
517	1.77E-03	
518	1.80E-03	
519	1.80E-03	
520	1.82E-03	
521	1.84E-03	
522	1.86E-03	
523	1.89E-03	
524	1.92E-03	
525	1.96E-03	
526	2.00E-03	
527	2.02E-03	
528	2.06E-03	
529	2.10E-03	
530	2.15E-03	
531	2.18E-03	
532	2.23E-03	
533	2.27E-03	
534	2.31E-03	
535	2.33E-03	
536	2.38E-03	
537	2.43E-03	
538	2.46E-03	
539	2.50E-03	
540	2.54E-03	
541	2.59E-03	
542	2.63E-03	
543	2.68E-03	
544	2.74E-03	
545	2.77E-03	
546	2.81E-03	
547	2.84E-03	
548	2.89E-03	
549	2.93E-03	
550	2.98E-03	
551	3.02E-03	
552	3.04E-03	
553	3.09E-03	
554	3.14E-03	
555	3.19E-03	
556	3.23E-03	
557	3.27E-03	
558	3.32E-03	
559	3.35E-03	
560	3.42E-03	
561	3.48E-03	
562	3.53E-03	
563	3.57E-03	
564	3.60E-03	
565	3.64E-03	
566	3.66E-03	
567	3.67E-03	
568	3.65E-03	
569	3.61E-03	
570	3.55E-03	
571	3.46E-03	
572	3.35E-03	
573	3.20E-03	
574	3.03E-03	
575	2.83E-03	
576	2.63E-03	
577	2.42E-03	
578	2.21E-03	
579	2.01E-03	
580	1.82E-03	
581	1.64E-03	
582	1.47E-03	
583	1.32E-03	
584	1.19E-03	
585	1.08E-03	
586	9.92E-04	
587	9.19E-04	
588	8.63E-04	
589	8.16E-04	
590	7.78E-04	
591	7.63E-04	
592	7.44E-04	
593	7.19E-04	
594	6.99E-04	
595	6.77E-04	
596	6.65E-04	
597	6.39E-04	
598	6.35E-04	
599	6.18E-04	
600	6.10E-04	
601	6.14E-04	
602	6.11E-04	
603	6.27E-04	
604	6.28E-04	
605	6.21E-04	
606	6.29E-04	
607	6.27E-04	
608	6.32E-04	
609	6.27E-04	
610	6.38E-04	
611	6.40E-04	
612	6.66E-04	
613	6.90E-04	
614	7.08E-04	
615	7.37E-04	
616	7.36E-04	
617	7.48E-04	
618	7.65E-04	
619	7.62E-04	
620	7.66E-04	
621	7.60E-04	
622	7.58E-04	
623	7.64E-04	
624	7.74E-04	
625	7.68E-04	
626	7.69E-04	
627	7.75E-04	
628	7.62E-04	
629	7.68E-04	
630	7.62E-04	
631	7.41E-04	
632	7.35E-04	
633	7.16E-04	
634	7.09E-04	
635	7.03E-04	
636	7.00E-04	
637	6.95E-04	
638	6.92E-04	
639	6.94E-04	
640	6.94E-04	
641	7.14E-04	
642	7.21E-04	
643	7.15E-04	
644	7.17E-04	
645	6.89E-04	
646	6.89E-04	
647	6.62E-04	
648	6.55E-04	
649	6.53E-04	
650	6.32E-04	
651	6.59E-04	
652	6.98E-04	
653	7.40E-04	
654	7.78E-04	
655	8.18E-04	
656	8.42E-04	
657	8.74E-04	
658	9.45E-04	
659	9.97E-04	
660	1.07E-03	
661	1.17E-03	
662	1.25E-03	
663	1.37E-03	
664	1.46E-03	
665	1.53E-03	
666	1.60E-03	
667	1.67E-03	
668	1.73E-03	
669	1.82E-03	
670	1.88E-03	
671	1.97E-03	
672	2.05E-03	
673	2.12E-03	
674	2.21E-03	
675	2.27E-03	
676	2.34E-03	
677	2.37E-03	
678	2.44E-03	
679	2.48E-03	
680	2.53E-03	
681	2.53E-03	
682	2.48E-03	
683	2.43E-03	
684	2.28E-03	
685	2.16E-03	
686	2.03E-03	
687	0.001864637	
688	1.70E-03	
