OLIS-3D-ASCII	SySl1037				
375	7.91E-03				
376	7.89E-03				
377	7.95E-03				
378	8.08E-03				
379	8.26E-03				
380	8.47E-03				
381	8.68E-03				
382	8.82E-03				
383	9.01E-03				
384	9.06E-03				
385	9.11E-03				
386	9.06E-03				
387	9.14E-03				
388	9.16E-03				
389	9.15E-03				
390	9.23E-03				
391	9.34E-03				
392	9.42E-03				
393	9.55E-03				
394	9.70E-03				
395	9.89E-03				
396	1.00E-02				
397	0.010255925				
398	0.010398334				
399	1.06E-02				
400	1.06E-02				
401	1.08E-02				
402	1.09E-02				
403	1.11E-02				
404	1.14E-02				
405	0.011592762				
406	1.19E-02				
407	1.21E-02				
408	1.25E-02				
409	1.28E-02				
410	1.32E-02				
411	1.34E-02				
412	1.37E-02				
413	1.40E-02				
414	1.42E-02				
415	1.44E-02				
416	1.47E-02				
417	0.014826679				
418	1.50E-02				
419	0.01510718				
420	1.52E-02				
421	1.54E-02				
422	1.55E-02				
423	1.56E-02				
424	1.57E-02				
425	1.58E-02				
426	1.60E-02				
427	1.62E-02				
428	0.016350408				
429	1.65E-02				
430	1.67E-02				
431	1.69E-02				
432	1.70E-02				
433	1.72E-02				
434	1.73E-02				
435	1.74E-02				
436	1.75E-02				
437	1.76E-02				
438	1.76E-02				
439	1.75E-02				
440	0.017423579				
441	1.72E-02				
442	1.70E-02				
443	1.68E-02				
444	1.64E-02				
445	1.60E-02				
446	1.56E-02				
447	1.52E-02				
448	1.47E-02				
449	1.43E-02				
450	1.39E-02				
451	0.013572932				
452	1.33E-02				
453	0.012982409				
454	0.012747649				
455	1.25E-02				
456	1.24E-02				
457	1.22E-02				
458	1.21E-02				
459	1.19E-02				
460	1.18E-02				
461	1.17E-02				
462	1.16E-02				
463	1.14E-02				
464	1.13E-02				
465	1.11E-02				
466	1.10E-02				
467	1.08E-02				
468	1.06E-02				
469	1.04E-02				
470	1.02E-02				
471	1.01E-02				
472	9.90E-03				
473	9.74E-03				
474	9.58E-03				
475	9.44E-03				
476	9.33E-03				
477	9.22E-03				
478	9.13E-03				
479	9.06E-03				
480	9.04E-03				
481	9.02E-03				
482	9.01E-03				
483	9.05E-03				
484	9.09E-03				
485	9.13E-03				
486	9.20E-03				
487	9.26E-03				
488	9.35E-03				
489	9.43E-03				
490	9.51E-03				
491	9.58E-03				
492	9.64E-03				
493	9.69E-03				
494	9.72E-03				
495	9.74E-03				
496	9.73E-03				
497	9.70E-03				
498	9.65E-03				
499	9.56E-03				
500	9.46E-03				
501	9.34E-03				
502	9.19E-03				
503	9.03E-03				
504	8.85E-03				
505	8.69E-03				
506	8.52E-03				
507	8.35E-03				
508	8.16E-03				
509	7.97E-03				
510	7.76E-03				
511	7.54E-03				
512	7.33E-03				
513	7.14E-03				
514	6.97E-03				
515	6.79E-03				
516	6.65E-03				
517	6.53E-03				
518	6.40E-03				
519	6.27E-03				
520	6.17E-03				
521	6.06E-03				
522	5.97E-03				
523	5.88E-03				
524	5.80E-03				
525	5.73E-03				
526	5.67E-03				
527	5.62E-03				
528	5.60E-03				
529	5.56E-03				
530	5.51E-03				
531	5.48E-03				
532	5.47E-03				
533	5.45E-03				
534	5.43E-03				
535	5.41E-03				
536	5.41E-03				
537	5.42E-03				
538	5.41E-03				
539	5.44E-03				
540	5.47E-03				
541	5.47E-03				
542	5.49E-03				
543	5.52E-03				
544	5.55E-03				
545	5.57E-03				
546	5.60E-03				
547	5.63E-03				
548	5.68E-03				
549	5.71E-03				
550	5.74E-03				
551	5.79E-03				
552	5.82E-03				
553	5.87E-03				
554	5.93E-03				
555	5.99E-03				
556	6.05E-03				
557	6.10E-03				
558	6.17E-03				
559	6.23E-03				
560	6.30E-03				
561	6.38E-03				
562	6.47E-03				
563	6.55E-03				
564	6.63E-03				
565	6.73E-03				
566	6.80E-03				
567	6.83E-03				
568	6.84E-03				
569	6.82E-03				
570	6.74E-03				
571	6.61E-03				
572	6.46E-03				
573	6.25E-03				
574	6.02E-03				
575	5.76E-03				
576	5.47E-03				
577	5.20E-03				
578	4.93E-03				
579	4.67E-03				
580	4.43E-03				
581	4.20E-03				
582	0.003984333				
583	3.81E-03				
584	3.65E-03				
585	3.50E-03				
586	3.37E-03				
587	3.26E-03				
588	3.17E-03				
589	3.11E-03				
590	3.06E-03				
591	3.00E-03				
592	2.95E-03				
593	2.91E-03				
594	2.89E-03				
595	2.88E-03				
596	2.87E-03				
597	2.85E-03				
598	2.83E-03				
599	2.82E-03				
600	2.80E-03				
601	2.81E-03				
602	2.80E-03				
603	2.79E-03				
604	2.80E-03				
605	2.81E-03				
606	2.84E-03				
607	2.86E-03				
608	2.88E-03				
609	2.92E-03				
610	2.95E-03				
611	2.99E-03				
612	3.02E-03				
613	3.05E-03				
614	3.07E-03				
615	3.11E-03				
616	3.15E-03				
617	3.18E-03				
618	3.21E-03				
619	3.24E-03				
620	3.28E-03				
621	3.33E-03				
622	3.36E-03				
623	3.38E-03				
624	3.39E-03				
625	3.41E-03				
626	3.43E-03				
627	3.45E-03				
628	3.45E-03				
629	3.43E-03				
630	3.41E-03				
631	3.40E-03				
632	3.38E-03				
633	3.37E-03				
634	3.34E-03				
635	3.30E-03				
636	3.29E-03				
637	3.27E-03				
638	3.26E-03				
639	3.25E-03				
640	3.22E-03				
641	3.19E-03				
642	3.17E-03				
643	3.14E-03				
644	3.12E-03				
645	3.12E-03				
646	3.11E-03				
647	3.12E-03				
648	3.14E-03				
649	3.14E-03				
650	3.17E-03				
651	3.23E-03				
652	3.25E-03				
