OLIS-3D-ASCII	SySl1039		
375	1.11E-02		
376	1.13E-02		
377	1.15E-02		
378	1.17E-02		
379	1.20E-02		
380	1.23E-02		
381	1.26E-02		
382	1.27E-02		
383	1.29E-02		
384	1.29E-02		
385	0.012981307		
386	1.29E-02		
387	1.29E-02		
388	1.28E-02		
389	0.012804146		
390	1.29E-02		
391	1.29E-02		
392	1.29E-02		
393	1.31E-02		
394	1.32E-02		
395	1.33E-02		
396	1.35E-02		
397	1.37E-02		
398	1.38E-02		
399	0.013988033		
400	1.41E-02		
401	1.43E-02		
402	1.45E-02		
403	1.47E-02		
404	0.015011232		
405	1.53E-02		
406	1.57E-02		
407	0.016022579		
408	1.64E-02		
409	1.68E-02		
410	1.72E-02		
411	1.76E-02		
412	1.79E-02		
413	1.83E-02		
414	1.86E-02		
415	1.89E-02		
416	1.91E-02		
417	1.94E-02		
418	1.96E-02		
419	1.97E-02		
420	1.98E-02		
421	1.99E-02		
422	2.00E-02		
423	0.02008872		
424	2.02E-02		
425	2.03E-02		
426	2.04E-02		
427	2.06E-02		
428	2.07E-02		
429	2.09E-02		
430	2.12E-02		
431	2.14E-02		
432	2.17E-02		
433	2.19E-02		
434	2.21E-02		
435	2.23E-02		
436	0.02239838		
437	2.24E-02		
438	2.24E-02		
439	2.23E-02		
440	2.21E-02		
441	2.19E-02		
442	2.15E-02		
443	2.11E-02		
444	2.05E-02		
445	1.99E-02		
446	1.92E-02		
447	1.85E-02		
448	1.77E-02		
449	1.70E-02		
450	1.64E-02		
451	1.58E-02		
452	1.53E-02		
453	1.48E-02		
454	1.44E-02		
455	1.41E-02		
456	1.38E-02		
457	1.36E-02		
458	1.34E-02		
459	1.32E-02		
460	0.013022918		
461	1.29E-02		
462	1.28E-02		
463	1.27E-02		
464	1.25E-02		
465	1.24E-02		
466	1.22E-02		
467	1.21E-02		
468	1.19E-02		
469	1.17E-02		
470	0.011547991		
471	0.011373728		
472	1.12E-02		
473	1.10E-02		
474	1.08E-02		
475	1.07E-02		
476	1.05E-02		
477	1.04E-02		
478	1.03E-02		
479	1.02E-02		
480	1.02E-02		
481	1.02E-02		
482	1.02E-02		
483	1.02E-02		
484	1.03E-02		
485	1.03E-02		
486	1.04E-02		
487	1.05E-02		
488	1.06E-02		
489	0.010698359		
490	1.08E-02		
491	0.010929628		
492	1.10E-02		
493	1.11E-02		
494	1.12E-02		
495	1.13E-02		
496	1.13E-02		
497	1.13E-02		
498	1.14E-02		
499	0.011331917		
500	1.13E-02		
501	1.13E-02		
502	0.01119211		
503	1.11E-02		
504	1.10E-02		
505	0.010852764		
506	1.07E-02		
507	1.06E-02		
508	1.04E-02		
509	1.03E-02		
510	0.010097633		
511	9.93E-03		
512	9.78E-03		
513	9.63E-03		
514	9.50E-03		
515	9.38E-03		
516	9.26E-03		
517	9.16E-03		
518	9.07E-03		
519	8.96E-03		
520	8.87E-03		
521	8.79E-03		
522	8.73E-03		
523	8.68E-03		
524	8.63E-03		
525	8.61E-03		
526	8.60E-03		
527	8.60E-03		
528	8.63E-03		
529	8.66E-03		
530	8.69E-03		
531	8.71E-03		
532	8.75E-03		
533	8.82E-03		
534	8.88E-03		
535	8.94E-03		
536	9.01E-03		
537	9.10E-03		
538	9.19E-03		
539	9.29E-03		
540	9.41E-03		
541	9.51E-03		
542	9.62E-03		
543	9.72E-03		
544	9.85E-03		
545	9.95E-03		
546	1.01E-02		
547	1.02E-02		
548	1.03E-02		
549	1.04E-02		
550	0.010500761		
551	1.06E-02		
552	1.07E-02		
553	1.08E-02		
554	1.10E-02		
555	0.01108897		
556	1.12E-02		
557	1.14E-02		
558	1.15E-02		
559	1.16E-02		
560	1.18E-02		
561	1.20E-02		
562	1.21E-02		
563	1.23E-02		
564	1.25E-02		
565	1.27E-02		
566	1.28E-02		
567	1.29E-02		
568	1.29E-02		
569	1.28E-02		
570	1.27E-02		
571	1.24E-02		
572	1.21E-02		
573	1.17E-02		
574	1.12E-02		
575	1.07E-02		
576	1.01E-02		
577	9.51E-03		
578	8.93E-03		
579	8.36E-03		
580	7.84E-03		
581	7.35E-03		
582	6.91E-03		
583	6.53E-03		
584	6.19E-03		
585	5.89E-03		
586	5.66E-03		
587	5.46E-03		
588	5.30E-03		
589	5.16E-03		
590	5.04E-03		
591	4.95E-03		
592	4.86E-03		
593	4.79E-03		
594	4.73E-03		
595	4.68E-03		
596	4.65E-03		
597	4.61E-03		
598	4.60E-03		
599	4.57E-03		
600	4.57E-03		
601	4.57E-03		
602	4.57E-03		
603	4.59E-03		
604	4.60E-03		
605	4.64E-03		
606	4.68E-03		
607	4.72E-03		
608	4.78E-03		
609	4.86E-03		
610	4.93E-03		
611	4.99E-03		
612	5.07E-03		
613	5.14E-03		
614	5.20E-03		
615	5.25E-03		
616	5.31E-03		
617	5.37E-03		
618	5.43E-03		
619	5.49E-03		
620	5.56E-03		
621	5.62E-03		
622	5.66E-03		
623	5.69E-03		
624	5.73E-03		
625	5.75E-03		
626	5.77E-03		
627	5.77E-03		
628	5.76E-03		
629	5.76E-03		
630	5.74E-03		
631	5.71E-03		
632	5.70E-03		
633	5.68E-03		
634	5.63E-03		
635	5.59E-03		
636	5.55E-03		
637	5.50E-03		
638	5.45E-03		
639	5.40E-03		
640	5.35E-03		
641	5.31E-03		
642	5.26E-03		
643	5.21E-03		
644	5.18E-03		
645	5.15E-03		
646	5.12E-03		
647	5.12E-03		
648	5.10E-03		
649	5.10E-03		
650	5.15E-03		
651	5.22E-03		
652	5.32E-03		
653	5.45E-03		
654	5.59E-03		
655	5.80E-03		
656	6.05E-03		
657	6.35E-03		
658	6.70E-03		
659	7.10E-03		
660	7.55E-03		
661	8.04E-03		
662	8.60E-03		
663	9.19E-03		
664	9.82E-03		
665	1.05E-02		
666	1.11E-02		
667	1.17E-02		
668	1.23E-02		
669	1.29E-02		
670	1.34E-02		
671	1.40E-02		
672	0.014449783		
673	0.014989221		
674	0.015556278		
675	1.61E-02		
676	1.66E-02		
677	1.71E-02		
678	0.017593192		
679	0.017982001		
680	1.83E-02		
681	1.83E-02		
682	1.81E-02		
683	1.78E-02		
684	1.72E-02		
685	1.66E-02		
686	1.57E-02		
687	0.014599897		
688	1.35E-02		
689	1.25E-02		
690	0.011458346		
691	1.05E-02		
692	9.53E-03		
693	8.62E-03		
694	7.80E-03		
695	7.02E-03		
696	6.31E-03		
697	5.69E-03		
698	5.06E-03		
699	4.53E-03		
700	4.10E-03		
701	3.75E-03		
702	3.47E-03		
703	3.13E-03		
704	2.83E-03		
705	2.53E-03		
706	2.24E-03		
707	1.95E-03		
708	1.67E-03		
709	1.38E-03		
710	1.09E-03		
