OLIS-3D-ASCII	SySl1042							
375	6.45E-03							
376	6.74E-03							
377	6.96E-03							
378	7.12E-03							
379	7.23E-03							
380	7.31E-03							
381	7.36E-03							
382	7.41E-03							
383	7.48E-03							
384	7.56E-03							
385	7.60E-03							
386	7.62E-03							
387	7.64E-03							
388	7.66E-03							
389	7.76E-03							
390	7.82E-03							
391	7.84E-03							
392	7.82E-03							
393	7.80E-03							
394	7.82E-03							
395	7.90E-03							
396	7.97E-03							
397	8.00E-03							
398	8.02E-03							
399	8.10E-03							
400	8.16E-03							
401	8.28E-03							
402	8.43E-03							
403	8.51E-03							
404	8.63E-03							
405	8.81E-03							
406	8.98E-03							
407	9.21E-03							
408	9.39E-03							
409	9.59E-03							
410	9.82E-03							
411	1.00E-02							
412	1.02E-02							
413	1.04E-02							
414	1.06E-02							
415	1.07E-02							
416	0.010808716							
417	1.09E-02							
418	1.10E-02							
419	1.10E-02							
420	1.10E-02							
421	1.11E-02							
422	1.11E-02							
423	1.11E-02							
424	1.11E-02							
425	1.12E-02							
426	1.12E-02							
427	1.13E-02							
428	1.14E-02							
429	1.15E-02							
430	1.16E-02							
431	0.011699587							
432	1.18E-02							
433	1.20E-02							
434	1.21E-02							
435	1.22E-02							
436	1.22E-02							
437	1.23E-02							
438	1.23E-02							
439	1.22E-02							
440	1.21E-02							
441	1.19E-02							
442	1.17E-02							
443	1.15E-02							
444	1.12E-02							
445	1.08E-02							
446	1.04E-02							
447	1.00E-02							
448	9.63E-03							
449	9.24E-03							
450	8.91E-03							
451	8.57E-03							
452	8.27E-03							
453	8.02E-03							
454	7.83E-03							
455	7.65E-03							
456	7.50E-03							
457	7.37E-03							
458	7.26E-03							
459	7.17E-03							
460	7.08E-03							
461	7.00E-03							
462	6.94E-03							
463	6.86E-03							
464	6.81E-03							
465	6.75E-03							
466	6.70E-03							
467	6.61E-03							
468	6.53E-03							
469	6.47E-03							
470	6.39E-03							
471	6.30E-03							
472	6.23E-03							
473	6.16E-03							
474	6.10E-03							
475	6.04E-03							
476	5.98E-03							
477	5.94E-03							
478	5.93E-03							
479	5.90E-03							
480	5.91E-03							
481	5.93E-03							
482	5.96E-03							
483	6.00E-03							
484	6.07E-03							
485	6.14E-03							
486	6.21E-03							
487	6.30E-03							
488	6.41E-03							
489	6.55E-03							
490	6.70E-03							
491	6.82E-03							
492	6.97E-03							
493	7.09E-03							
494	7.21E-03							
495	7.33E-03							
496	7.44E-03							
497	7.56E-03							
498	7.67E-03							
499	7.77E-03							
500	7.88E-03							
501	7.99E-03							
502	8.10E-03							
503	8.21E-03							
504	8.30E-03							
505	8.37E-03							
506	8.45E-03							
507	8.53E-03							
508	8.61E-03							
509	8.70E-03							
510	8.79E-03							
511	8.86E-03							
512	0.008954465							
513	9.07E-03							
514	9.19E-03							
515	9.34E-03							
516	9.47E-03							
517	9.62E-03							
518	9.75E-03							
519	9.91E-03							
520	1.01E-02							
521	1.02E-02							
522	0.010417127							
523	1.06E-02							
524	1.08E-02							
525	1.09E-02							
526	1.11E-02							
527	1.13E-02							
528	1.15E-02							
529	1.16E-02							
530	1.18E-02							
531	1.20E-02							
532	1.22E-02							
533	1.24E-02							
534	1.26E-02							
535	1.28E-02							
536	1.29E-02							
537	1.31E-02							
538	1.33E-02							
539	1.34E-02							
540	1.36E-02							
541	1.38E-02							
542	1.40E-02							
543	1.42E-02							
544	0.014432199							
545	1.46E-02							
546	1.48E-02							
547	0.015029132							
548	0.015236011							
549	0.01542489							
550	1.56E-02							
551	1.58E-02							
552	1.59E-02							
553	1.61E-02							
554	0.016332572							
555	1.65E-02							
556	1.67E-02							
557	1.69E-02							
558	1.71E-02							
559	1.73E-02							
560	1.75E-02							
561	1.77E-02							
562	1.79E-02							
563	1.81E-02							
564	1.83E-02							
565	1.86E-02							
566	1.88E-02							
567	1.89E-02							
568	1.89E-02							
569	1.88E-02							
570	1.85E-02							
571	0.018106069							
572	0.017567105							
573	1.69E-02							
574	1.60E-02							
575	1.51E-02							
576	0.014130383							
577	1.31E-02							
578	1.20E-02							
579	1.10E-02							
580	9.97E-03							
581	9.04E-03							
582	8.19E-03							
583	7.41E-03							
584	6.75E-03							
585	6.17E-03							
586	5.67E-03							
587	5.27E-03							
588	4.91E-03							
589	4.60E-03							
590	4.36E-03							
591	4.16E-03							
592	0.003992244							
593	3.86E-03							
594	3.74E-03							
595	3.65E-03							
596	3.57E-03							
597	3.50E-03							
598	3.45E-03							
599	3.40E-03							
600	3.35E-03							
601	3.31E-03							
602	3.29E-03							
603	3.29E-03							
604	3.29E-03							
605	3.30E-03							
606	3.31E-03							
607	3.33E-03							
608	3.33E-03							
609	3.35E-03							
610	3.37E-03							
611	3.39E-03							
612	3.41E-03							
613	3.44E-03							
614	3.48E-03							
615	3.52E-03							
616	3.56E-03							
617	3.59E-03							
618	3.62E-03							
619	0.003662961							
620	3.68E-03							
621	3.71E-03							
622	3.72E-03							
623	3.74E-03							
624	3.76E-03							
625	3.77E-03							
626	3.77E-03							
627	3.76E-03							
628	3.77E-03							
629	3.75E-03							
630	3.74E-03							
631	3.71E-03							
632	3.69E-03							
633	3.66E-03							
634	3.62E-03							
635	3.58E-03							
636	3.55E-03							
637	3.49E-03							
638	3.47E-03							
639	3.43E-03							
640	3.42E-03							
641	3.40E-03							
642	3.37E-03							
643	3.35E-03							
644	3.34E-03							
645	3.31E-03							
646	3.27E-03							
647	3.24E-03							
