OLIS-3D-ASCII	SySl1073
375	6.77E-03
376	6.80E-03
377	6.80E-03
378	6.80E-03
379	6.78E-03
380	6.76E-03
381	6.72E-03
382	6.72E-03
383	6.67E-03
384	6.57E-03
385	6.48E-03
386	6.36E-03
387	6.22E-03
388	6.10E-03
389	5.98E-03
390	5.87E-03
391	5.74E-03
392	5.57E-03
393	5.46E-03
394	5.42E-03
395	5.30E-03
396	5.19E-03
397	5.18E-03
398	5.11E-03
399	5.03E-03
400	5.00E-03
401	5.00E-03
402	4.93E-03
403	4.91E-03
404	4.86E-03
405	4.85E-03
406	4.89E-03
407	4.90E-03
408	4.91E-03
409	4.91E-03
410	4.88E-03
411	4.88E-03
412	4.89E-03
413	4.91E-03
414	4.90E-03
415	4.91E-03
416	4.89E-03
417	4.88E-03
418	4.87E-03
419	4.83E-03
420	4.77E-03
421	4.72E-03
422	4.70E-03
423	4.65E-03
424	4.64E-03
425	4.63E-03
426	4.63E-03
427	4.62E-03
428	4.61E-03
429	4.62E-03
430	4.61E-03
431	4.61E-03
432	4.59E-03
433	0.004605558
434	4.61E-03
435	4.58E-03
436	4.55E-03
437	4.52E-03
438	4.48E-03
439	4.43E-03
440	4.40E-03
441	4.35E-03
442	4.27E-03
443	4.19E-03
444	4.08E-03
445	3.99E-03
446	3.87E-03
447	3.73E-03
448	3.60E-03
449	3.51E-03
450	3.39E-03
451	3.30E-03
452	3.21E-03
453	3.12E-03
454	3.03E-03
455	2.97E-03
456	2.92E-03
457	2.87E-03
458	2.81E-03
459	2.78E-03
460	2.77E-03
461	2.77E-03
462	2.75E-03
463	2.73E-03
464	2.70E-03
465	2.67E-03
466	2.65E-03
467	2.61E-03
468	2.55E-03
469	2.49E-03
470	0.00245147
471	2.41E-03
472	2.37E-03
473	2.34E-03
474	2.31E-03
475	2.27E-03
476	2.25E-03
477	2.23E-03
478	2.22E-03
479	2.21E-03
480	2.20E-03
481	2.20E-03
482	2.23E-03
483	2.25E-03
484	2.27E-03
485	2.28E-03
486	2.30E-03
487	2.31E-03
488	2.35E-03
489	2.37E-03
490	2.38E-03
491	2.40E-03
492	2.41E-03
493	2.42E-03
494	2.45E-03
495	2.46E-03
496	2.48E-03
497	2.50E-03
498	2.54E-03
499	2.56E-03
500	2.60E-03
501	2.63E-03
502	2.66E-03
503	2.69E-03
504	2.72E-03
505	2.75E-03
506	2.76E-03
507	2.78E-03
508	2.79E-03
509	2.80E-03
510	2.80E-03
511	2.80E-03
512	2.83E-03
513	2.85E-03
514	2.89E-03
515	2.94E-03
516	2.99E-03
517	3.03E-03
518	3.09E-03
519	3.13E-03
520	3.17E-03
521	3.22E-03
522	3.27E-03
523	3.32E-03
524	3.34E-03
525	3.39E-03
526	3.43E-03
527	3.46E-03
528	3.50E-03
529	3.55E-03
530	3.60E-03
531	3.65E-03
532	3.71E-03
533	3.76E-03
534	3.82E-03
535	3.86E-03
536	3.90E-03
537	3.96E-03
538	4.00E-03
539	4.03E-03
540	4.08E-03
541	4.12E-03
542	4.17E-03
543	4.23E-03
544	4.29E-03
545	4.35E-03
546	4.40E-03
547	4.46E-03
548	4.50E-03
549	4.55E-03
550	4.59E-03
551	4.63E-03
552	4.68E-03
553	4.71E-03
554	4.75E-03
555	4.79E-03
556	4.84E-03
557	4.89E-03
558	4.94E-03
559	4.99E-03
560	5.04E-03
561	5.11E-03
562	5.18E-03
563	5.23E-03
564	5.30E-03
565	5.34E-03
566	5.39E-03
567	5.42E-03
568	5.41E-03
569	5.39E-03
570	5.33E-03
571	5.20E-03
572	5.06E-03
573	4.85E-03
574	4.60E-03
575	4.34E-03
576	4.06E-03
577	3.77E-03
578	3.48E-03
579	3.19E-03
580	2.92E-03
581	2.68E-03
582	2.45E-03
583	2.23E-03
584	2.05E-03
585	1.87E-03
586	1.73E-03
587	1.63E-03
588	1.52E-03
589	1.44E-03
590	1.38E-03
591	1.34E-03
592	1.33E-03
593	1.31E-03
594	1.29E-03
595	1.26E-03
596	1.22E-03
597	1.20E-03
598	1.18E-03
599	1.17E-03
600	1.14E-03
601	1.13E-03
602	1.13E-03
603	1.14E-03
604	1.14E-03
605	1.14E-03
606	1.14E-03
607	1.13E-03
608	1.13E-03
609	1.14E-03
610	1.15E-03
611	1.17E-03
612	1.18E-03
613	1.20E-03
614	1.20E-03
615	1.21E-03
616	1.20E-03
617	1.22E-03
618	0.001215006
619	1.22E-03
620	1.23E-03
621	1.24E-03
622	1.26E-03
623	1.26E-03
624	1.27E-03
625	1.28E-03
626	1.28E-03
627	1.29E-03
628	1.29E-03
629	1.30E-03
630	1.30E-03
631	1.31E-03
632	1.30E-03
633	1.29E-03
634	1.27E-03
635	1.26E-03
636	1.25E-03
637	1.25E-03
638	1.24E-03
639	1.22E-03
640	1.20E-03
641	1.18E-03
642	1.17E-03
643	1.15E-03
644	1.14E-03
645	1.12E-03
646	1.12E-03
647	1.11E-03
648	1.11E-03
649	1.12E-03
650	1.13E-03
651	1.11E-03
652	1.10E-03
653	1.12E-03
654	1.14E-03
655	1.16E-03
656	1.19E-03
657	1.23E-03
658	1.27E-03
659	1.33E-03
660	1.40E-03
661	1.47E-03
662	1.55E-03
663	1.61E-03
664	1.73E-03
665	1.86E-03
666	1.98E-03
667	2.09E-03
668	2.18E-03
669	2.29E-03
670	2.38E-03
671	2.45E-03
672	2.52E-03
673	2.58E-03
674	2.65E-03
675	2.75E-03
676	2.83E-03
677	0.002891068
678	2.99E-03
679	3.05E-03
680	3.10E-03
681	3.10E-03
682	3.07E-03
683	2.99E-03
684	2.91E-03
685	2.78E-03
686	2.65E-03
687	2.51E-03
688	2.30E-03
689	2.11E-03
690	1.96E-03
691	1.80E-03
692	1.65E-03
693	1.46E-03
694	1.32E-03
695	1.18E-03
696	1.10E-03
697	9.75E-04
698	9.29E-04
699	8.35E-04
700	7.83E-04
701	8.18E-04
702	7.45E-04
703	6.47E-04
704	6.31E-04
705	5.90E-04
706	5.64E-04
707	5.58E-04
708	5.78E-04
709	6.29E-04
710	7.16E-04
