OLIS-3D-ASCII	SySl1317						
375	6.36E-03						
376	6.53E-03						
377	6.68E-03						
378	6.82E-03						
379	6.93E-03						
380	7.03E-03						
381	7.11E-03						
382	7.25E-03						
383	7.26E-03						
384	7.28E-03						
385	7.29E-03						
386	7.32E-03						
387	7.23E-03						
388	7.28E-03						
389	7.32E-03						
390	7.34E-03						
391	7.35E-03						
392	7.39E-03						
393	7.47E-03						
394	7.65E-03						
395	7.74E-03						
396	7.85E-03						
397	7.99E-03						
398	8.10E-03						
399	8.15E-03						
400	8.32E-03						
401	8.39E-03						
402	8.55E-03						
403	8.67E-03						
404	8.84E-03						
405	9.03E-03						
406	9.23E-03						
407	9.37E-03						
408	9.51E-03						
409	9.68E-03						
410	9.86E-03						
411	1.00E-02						
412	1.02E-02						
413	1.04E-02						
414	1.06E-02						
415	0.010813682						
416	1.10E-02						
417	1.11E-02						
418	1.12E-02						
419	1.13E-02						
420	1.15E-02						
421	1.16E-02						
422	1.17E-02						
423	1.18E-02						
424	1.19E-02						
425	1.20E-02						
426	1.22E-02						
427	0.012278131						
428	0.012409413						
429	1.25E-02						
430	1.27E-02						
431	0.012802997						
432	1.30E-02						
433	1.31E-02						
434	1.32E-02						
435	1.32E-02						
436	1.33E-02						
437	1.33E-02						
438	1.33E-02						
439	1.33E-02						
440	1.33E-02						
441	0.013204282						
442	1.31E-02						
443	1.30E-02						
444	1.29E-02						
445	1.27E-02						
446	0.012573115						
447	0.012367817						
448	1.22E-02						
449	1.20E-02						
450	1.18E-02						
451	1.17E-02						
452	1.16E-02						
453	1.15E-02						
454	1.14E-02						
455	1.14E-02						
456	1.13E-02						
457	1.12E-02						
458	0.011174169						
459	1.11E-02						
460	1.10E-02						
461	0.010908195						
462	1.08E-02						
463	1.07E-02						
464	1.06E-02						
465	1.04E-02						
466	0.01023173						
467	1.00E-02						
468	9.85E-03						
469	9.67E-03						
470	9.49E-03						
471	9.30E-03						
472	9.13E-03						
473	9.01E-03						
474	8.88E-03						
475	8.74E-03						
476	8.65E-03						
477	8.57E-03						
478	8.49E-03						
479	8.44E-03						
480	8.44E-03						
481	8.44E-03						
482	8.46E-03						
483	8.51E-03						
484	8.57E-03						
485	8.64E-03						
486	8.69E-03						
487	8.75E-03						
488	8.84E-03						
489	8.88E-03						
490	8.92E-03						
491	8.97E-03						
492	8.97E-03						
493	8.97E-03						
494	8.94E-03						
495	8.88E-03						
496	8.79E-03						
497	8.68E-03						
498	8.54E-03						
499	8.37E-03						
500	8.20E-03						
501	7.98E-03						
502	7.76E-03						
503	7.55E-03						
504	7.30E-03						
505	7.05E-03						
506	6.78E-03						
507	6.51E-03						
508	6.25E-03						
509	5.99E-03						
510	5.75E-03						
511	5.51E-03						
512	5.28E-03						
513	5.03E-03						
514	0.004823652						
515	4.63E-03						
516	4.42E-03						
517	4.22E-03						
518	4.02E-03						
519	3.86E-03						
520	3.69E-03						
521	3.54E-03						
522	3.39E-03						
523	3.26E-03						
524	3.12E-03						
525	2.98E-03						
526	2.87E-03						
527	2.77E-03						
528	2.64E-03						
529	2.54E-03						
530	2.43E-03						
531	2.33E-03						
532	2.23E-03						
533	2.12E-03						
534	2.01E-03						
535	1.89E-03						
536	1.77E-03						
537	1.66E-03						
538	1.54E-03						
539	1.43E-03						
540	1.32E-03						
541	1.23E-03						
542	1.14E-03						
543	1.07E-03						
544	1.01E-03						
545	9.31E-04						
546	8.62E-04						
547	7.85E-04						
548	7.18E-04						
549	6.62E-04						
550	5.89E-04						
551	5.38E-04						
552	4.99E-04						
553	4.60E-04						
554	4.33E-04						
555	4.11E-04						
556	4.00E-04						
557	3.82E-04						
558	3.47E-04						
559	3.18E-04						
560	3.03E-04						
561	2.93E-04						
562	2.81E-04						
563	2.62E-04						
564	2.51E-04						
565	2.36E-04						
566	2.35E-04						
567	2.38E-04						
568	2.50E-04						
569	2.56E-04						
570	2.55E-04						
571	2.78E-04						
572	3.04E-04						
573	3.24E-04						
574	3.38E-04						
575	3.33E-04						
576	3.39E-04						
577	3.29E-04						
578	3.28E-04						
579	3.29E-04						
580	3.26E-04						
581	3.36E-04						
582	3.55E-04						
583	3.79E-04						
584	3.93E-04						
585	4.12E-04						
586	4.19E-04						
587	4.22E-04						
588	4.35E-04						
589	4.33E-04						
590	4.40E-04						
591	4.43E-04						
592	4.38E-04						
593	4.51E-04						
594	4.65E-04						
595	4.76E-04						
596	4.81E-04						
597	4.75E-04						
598	4.72E-04						
599	4.84E-04						
600	4.98E-04						
601	5.13E-04						
602	5.28E-04						
603	5.45E-04						
604	5.49E-04						
605	5.69E-04						
606	5.88E-04						
607	6.14E-04						
608	6.23E-04						
609	6.27E-04						
610	6.60E-04						
611	6.98E-04						
612	7.32E-04						
613	7.70E-04						
614	8.09E-04						
615	8.51E-04						
616	8.84E-04						
617	9.23E-04						
618	9.52E-04						
619	9.87E-04						
620	1.01E-03						
621	1.02E-03						
622	1.04E-03						
623	1.05E-03						
624	1.07E-03						
625	1.07E-03						
626	1.08E-03						
627	1.07E-03						
628	1.07E-03						
629	1.06E-03						
630	1.05E-03						
631	1.06E-03						
632	1.06E-03						
633	1.05E-03						
634	1.06E-03						
635	1.06E-03						
636	1.05E-03						
637	1.04E-03						
638	1.03E-03						
639	9.99E-04						
640	9.74E-04						
641	9.20E-04						
642	8.78E-04						
643	8.55E-04						
644	7.99E-04						
645	7.82E-04						
646	7.62E-04						
647	7.44E-04						
648	7.20E-04						
649	7.19E-04						
650	7.18E-04						
651	7.25E-04						
652	7.16E-04						
653	7.20E-04						
654	7.38E-04						
655	7.92E-04						
656	8.50E-04						
657	9.52E-04						
658	1.03E-03						
659	1.16E-03						
660	1.28E-03						
661	1.45E-03						
662	1.62E-03						
663	1.82E-03						
664	2.03E-03						
665	2.25E-03						
666	2.51E-03						
667	2.83E-03						
668	3.12E-03						
669	3.40E-03						
670	3.66E-03						
671	3.93E-03						
672	4.17E-03						
673	4.41E-03						
674	4.59E-03						
675	4.72E-03						
676	4.83E-03						
677	4.86E-03						
678	4.90E-03						
679	4.85E-03						
680	4.73E-03						
681	4.56E-03						
682	4.30E-03						
683	3.97E-03						
684	3.64E-03						
685	3.27E-03						
686	2.87E-03						
687	2.44E-03						
688	2.07E-03						
689	1.68E-03						
690	1.37E-03						
691	1.06E-03						
692	7.72E-04						
693	5.00E-04						
694	2.11E-04						
695	-6.33E-05						
696	-2.44E-04						
697	-4.57E-04						
698	-6.92E-04						
699	-9.05E-04						
700	-1.07E-03						
701	-1.18E-03						
702	-1.28E-03						
703	-1.35E-03						
704	-1.53E-03						
705	-1.67E-03						
706	-1.82E-03						
707	-1.99E-03						
708	-2.20E-03						
709	-2.44E-03						
710	-2.72E-03						
